itemName,trialNr,submission_id,targetOption,answerType,response,categorized_response,by_trial_nr
blanket-sleepover,1,3820,itemQuestion,sameCategory,3,itemQuestion,77
blanket-sleepover,1,3820,itemQuestion,otherCategory,14,itemQuestion,77
blanket-sleepover,1,3820,itemQuestion,mostSimilar,24,itemQuestion,77
sweatpants-sleepover,3,3820,itemQuestion,itemQuestion,99,itemQuestion,78
sweatpants-sleepover,3,3820,itemQuestion,competitor,64,itemQuestion,78
sweatpants-sleepover,3,3820,itemQuestion,sameCategory,23,itemQuestion,78
sweatpants-sleepover,3,3820,itemQuestion,otherCategory,21,itemQuestion,78
sweatpants-sleepover,3,3820,itemQuestion,mostSimilar,58,itemQuestion,78
candy-halloween,4,3820,itemQuestion,itemQuestion,90,itemQuestion,79
candy-halloween,4,3820,itemQuestion,competitor,45,itemQuestion,79
candy-halloween,4,3820,itemQuestion,sameCategory,62,itemQuestion,79
candy-halloween,4,3820,itemQuestion,otherCategory,37,itemQuestion,79
candy-halloween,4,3820,itemQuestion,mostSimilar,75,itemQuestion,79
towel-hair,5,3820,itemQuestion,itemQuestion,98,itemQuestion,80
towel-hair,5,3820,itemQuestion,competitor,23,itemQuestion,80
towel-hair,5,3820,itemQuestion,sameCategory,34,itemQuestion,80
towel-hair,5,3820,itemQuestion,otherCategory,60,itemQuestion,80
towel-hair,5,3820,itemQuestion,mostSimilar,61,itemQuestion,80
sweatpants-spill,1,3821,itemQuestion,itemQuestion,100,itemQuestion,81
sweatpants-spill,1,3821,itemQuestion,competitor,100,itemQuestion,81
sweatpants-spill,1,3821,itemQuestion,sameCategory,0,itemQuestion,81
sweatpants-spill,1,3821,itemQuestion,otherCategory,32,itemQuestion,81
sweatpants-spill,1,3821,itemQuestion,mostSimilar,0,itemQuestion,81
candy-dessert,2,3821,itemQuestion,itemQuestion,100,itemQuestion,82
candy-dessert,2,3821,itemQuestion,competitor,67,itemQuestion,82
candy-dessert,2,3821,itemQuestion,sameCategory,2,itemQuestion,82
candy-dessert,2,3821,itemQuestion,otherCategory,0,itemQuestion,82
candy-dessert,2,3821,itemQuestion,mostSimilar,82,itemQuestion,82
broom-snow,3,3821,itemQuestion,itemQuestion,100,itemQuestion,83
broom-snow,3,3821,itemQuestion,competitor,70,itemQuestion,83
broom-snow,3,3821,itemQuestion,sameCategory,0,itemQuestion,83
broom-snow,3,3821,itemQuestion,otherCategory,0,itemQuestion,83
broom-snow,3,3821,itemQuestion,mostSimilar,22,itemQuestion,83
towel-clothes,5,3821,itemQuestion,itemQuestion,100,itemQuestion,84
towel-clothes,5,3821,itemQuestion,competitor,25,itemQuestion,84
towel-clothes,5,3821,itemQuestion,sameCategory,73,itemQuestion,84
towel-clothes,5,3821,itemQuestion,otherCategory,23,itemQuestion,84
towel-clothes,5,3821,itemQuestion,mostSimilar,71,itemQuestion,84
towel-hair,1,3822,itemQuestion,itemQuestion,64,itemQuestion,85
towel-hair,1,3822,itemQuestion,competitor,94,itemQuestion,85
towel-hair,1,3822,itemQuestion,sameCategory,84,itemQuestion,85
towel-hair,1,3822,itemQuestion,otherCategory,16,itemQuestion,85
towel-hair,1,3822,itemQuestion,mostSimilar,11,itemQuestion,85
sugar-coffee,3,3822,itemQuestion,itemQuestion,98,itemQuestion,86
sugar-coffee,3,3822,itemQuestion,competitor,21,itemQuestion,86
sugar-coffee,3,3822,itemQuestion,sameCategory,34,itemQuestion,86
sugar-coffee,3,3822,itemQuestion,otherCategory,2,itemQuestion,86
sugar-coffee,3,3822,itemQuestion,mostSimilar,21,itemQuestion,86
candy-halloween,4,3822,itemQuestion,itemQuestion,97,itemQuestion,87
candy-halloween,4,3822,itemQuestion,competitor,22,itemQuestion,87
candy-halloween,4,3822,itemQuestion,sameCategory,62,itemQuestion,87
candy-halloween,4,3822,itemQuestion,otherCategory,31,itemQuestion,87
candy-halloween,4,3822,itemQuestion,mostSimilar,74,itemQuestion,87
broom-renovation,5,3822,itemQuestion,itemQuestion,98,itemQuestion,88
broom-renovation,5,3822,itemQuestion,competitor,4,itemQuestion,88
broom-renovation,5,3822,itemQuestion,sameCategory,4,itemQuestion,88
broom-renovation,5,3822,itemQuestion,otherCategory,2,itemQuestion,88
broom-renovation,5,3822,itemQuestion,mostSimilar,21,itemQuestion,88
towel-hair,1,3823,itemQuestion,itemQuestion,89,itemQuestion,89
towel-hair,1,3823,itemQuestion,competitor,83,itemQuestion,89
towel-hair,1,3823,itemQuestion,sameCategory,26,itemQuestion,89
towel-hair,1,3823,itemQuestion,otherCategory,26,itemQuestion,89
towel-hair,1,3823,itemQuestion,mostSimilar,35,itemQuestion,89
postit-board,2,3823,itemQuestion,itemQuestion,96,itemQuestion,90
postit-board,2,3823,itemQuestion,competitor,11,itemQuestion,90
postit-board,2,3823,itemQuestion,sameCategory,33,itemQuestion,90
postit-board,2,3823,itemQuestion,otherCategory,11,itemQuestion,90
postit-board,2,3823,itemQuestion,mostSimilar,73,itemQuestion,90
box-muffins,3,3823,itemQuestion,itemQuestion,93,itemQuestion,91
box-muffins,3,3823,itemQuestion,competitor,85,itemQuestion,91
box-muffins,3,3823,itemQuestion,sameCategory,59,itemQuestion,91
box-muffins,3,3823,itemQuestion,otherCategory,23,itemQuestion,91
box-muffins,3,3823,itemQuestion,mostSimilar,79,itemQuestion,91
handkerchief-injury,5,3823,itemQuestion,itemQuestion,98,itemQuestion,92
handkerchief-injury,5,3823,itemQuestion,competitor,60,itemQuestion,92
handkerchief-injury,5,3823,itemQuestion,sameCategory,72,itemQuestion,92
handkerchief-injury,5,3823,itemQuestion,otherCategory,2,itemQuestion,92
handkerchief-injury,5,3823,itemQuestion,mostSimilar,89,itemQuestion,92
bottle-water,2,3824,itemQuestion,itemQuestion,87,itemQuestion,93
bottle-water,2,3824,itemQuestion,competitor,65,itemQuestion,93
bottle-water,2,3824,itemQuestion,sameCategory,42,itemQuestion,93
bottle-water,2,3824,itemQuestion,otherCategory,18,itemQuestion,93
bottle-water,2,3824,itemQuestion,mostSimilar,63,itemQuestion,93
box-bbq,3,3824,itemQuestion,itemQuestion,89,itemQuestion,94
box-bbq,3,3824,itemQuestion,competitor,46,itemQuestion,94
box-bbq,3,3824,itemQuestion,sameCategory,69,itemQuestion,94
box-bbq,3,3824,itemQuestion,otherCategory,64,itemQuestion,94
box-bbq,3,3824,itemQuestion,mostSimilar,57,itemQuestion,94
handkerchief-sauce,4,3824,itemQuestion,itemQuestion,86,itemQuestion,95
handkerchief-sauce,4,3824,itemQuestion,competitor,58,itemQuestion,95
handkerchief-sauce,4,3824,itemQuestion,sameCategory,38,itemQuestion,95
handkerchief-sauce,4,3824,itemQuestion,otherCategory,27,itemQuestion,95
handkerchief-sauce,4,3824,itemQuestion,mostSimilar,70,itemQuestion,95
blanket-transportation,5,3824,itemQuestion,itemQuestion,92,itemQuestion,96
blanket-transportation,5,3824,itemQuestion,competitor,54,itemQuestion,96
blanket-transportation,5,3824,itemQuestion,sameCategory,69,itemQuestion,96
blanket-transportation,5,3824,itemQuestion,otherCategory,53,itemQuestion,96
blanket-transportation,5,3824,itemQuestion,mostSimilar,52,itemQuestion,96
box-bbq,2,3825,itemQuestion,itemQuestion,81,itemQuestion,97
box-bbq,2,3825,itemQuestion,competitor,68,itemQuestion,97
box-bbq,2,3825,itemQuestion,sameCategory,20,itemQuestion,97
box-bbq,2,3825,itemQuestion,otherCategory,0,itemQuestion,97
box-bbq,2,3825,itemQuestion,mostSimilar,49,itemQuestion,97
towel-clothes,3,3825,itemQuestion,itemQuestion,93,itemQuestion,98
towel-clothes,3,3825,itemQuestion,competitor,39,itemQuestion,98
towel-clothes,3,3825,itemQuestion,sameCategory,67,itemQuestion,98
towel-clothes,3,3825,itemQuestion,otherCategory,14,itemQuestion,98
towel-clothes,3,3825,itemQuestion,mostSimilar,80,itemQuestion,98
blanket-transportation,4,3825,itemQuestion,itemQuestion,68,itemQuestion,99
blanket-transportation,4,3825,itemQuestion,competitor,79,itemQuestion,99
blanket-transportation,4,3825,itemQuestion,sameCategory,67,itemQuestion,99
blanket-transportation,4,3825,itemQuestion,otherCategory,32,itemQuestion,99
blanket-transportation,4,3825,itemQuestion,mostSimilar,28,itemQuestion,99
sugar-baking,5,3825,itemQuestion,itemQuestion,100,itemQuestion,100
sugar-baking,5,3825,itemQuestion,competitor,0,itemQuestion,100
sugar-baking,5,3825,itemQuestion,sameCategory,0,itemQuestion,100
sugar-baking,5,3825,itemQuestion,otherCategory,0,itemQuestion,100
sugar-baking,5,3825,itemQuestion,mostSimilar,0,itemQuestion,100
sugar-baking,1,3826,itemQuestion,itemQuestion,100,itemQuestion,101
sugar-baking,1,3826,itemQuestion,competitor,62,itemQuestion,101
sugar-baking,1,3826,itemQuestion,sameCategory,68,itemQuestion,101
sugar-baking,1,3826,itemQuestion,otherCategory,6,itemQuestion,101
sugar-baking,1,3826,itemQuestion,mostSimilar,62,itemQuestion,101
candy-dessert,2,3826,itemQuestion,itemQuestion,32,itemQuestion,102
candy-dessert,2,3826,itemQuestion,competitor,33,itemQuestion,102
candy-dessert,2,3826,itemQuestion,sameCategory,60,itemQuestion,102
candy-dessert,2,3826,itemQuestion,otherCategory,16,itemQuestion,102
candy-dessert,2,3826,itemQuestion,mostSimilar,33,itemQuestion,102
postit-reading,4,3826,itemQuestion,itemQuestion,91,itemQuestion,103
postit-reading,4,3826,itemQuestion,competitor,79,itemQuestion,103
postit-reading,4,3826,itemQuestion,sameCategory,0,itemQuestion,103
postit-reading,4,3826,itemQuestion,otherCategory,0,itemQuestion,103
postit-reading,4,3826,itemQuestion,mostSimilar,61,itemQuestion,103
umbrella-rain,5,3826,itemQuestion,itemQuestion,92,itemQuestion,104
umbrella-rain,5,3826,itemQuestion,competitor,79,itemQuestion,104
umbrella-rain,5,3826,itemQuestion,sameCategory,1,itemQuestion,104
umbrella-rain,5,3826,itemQuestion,otherCategory,0,itemQuestion,104
umbrella-rain,5,3826,itemQuestion,mostSimilar,42,itemQuestion,104
box-bbq,1,3827,itemQuestion,itemQuestion,100,itemQuestion,105
box-bbq,1,3827,itemQuestion,competitor,99,itemQuestion,105
box-bbq,1,3827,itemQuestion,sameCategory,0,itemQuestion,105
box-bbq,1,3827,itemQuestion,otherCategory,0,itemQuestion,105
box-bbq,1,3827,itemQuestion,mostSimilar,100,itemQuestion,105
umbrella-rain,2,3827,itemQuestion,itemQuestion,100,itemQuestion,106
umbrella-rain,2,3827,itemQuestion,competitor,99,itemQuestion,106
umbrella-rain,2,3827,itemQuestion,sameCategory,0,itemQuestion,106
umbrella-rain,2,3827,itemQuestion,otherCategory,0,itemQuestion,106
umbrella-rain,2,3827,itemQuestion,mostSimilar,1,itemQuestion,106
sugar-baking,3,3827,itemQuestion,itemQuestion,100,itemQuestion,107
sugar-baking,3,3827,itemQuestion,competitor,100,itemQuestion,107
sugar-baking,3,3827,itemQuestion,sameCategory,1,itemQuestion,107
sugar-baking,3,3827,itemQuestion,otherCategory,0,itemQuestion,107
sugar-baking,3,3827,itemQuestion,mostSimilar,99,itemQuestion,107
pot-jam,5,3827,itemQuestion,itemQuestion,100,itemQuestion,108
pot-jam,5,3827,itemQuestion,competitor,99,itemQuestion,108
pot-jam,5,3827,itemQuestion,sameCategory,1,itemQuestion,108
pot-jam,5,3827,itemQuestion,otherCategory,1,itemQuestion,108
pot-jam,5,3827,itemQuestion,mostSimilar,99,itemQuestion,108
bottle-water,1,3828,itemQuestion,itemQuestion,100,itemQuestion,109
bottle-water,1,3828,itemQuestion,competitor,100,itemQuestion,109
bottle-water,1,3828,itemQuestion,sameCategory,59,itemQuestion,109
bottle-water,1,3828,itemQuestion,otherCategory,0,itemQuestion,109
bottle-water,1,3828,itemQuestion,mostSimilar,100,itemQuestion,109
blanket-transportation,2,3828,itemQuestion,itemQuestion,100,itemQuestion,110
blanket-transportation,2,3828,itemQuestion,competitor,76,itemQuestion,110
blanket-transportation,2,3828,itemQuestion,sameCategory,63,itemQuestion,110
blanket-transportation,2,3828,itemQuestion,otherCategory,67,itemQuestion,110
blanket-transportation,2,3828,itemQuestion,mostSimilar,23,itemQuestion,110
sugar-baking,3,3828,itemQuestion,itemQuestion,100,itemQuestion,111
sugar-baking,3,3828,itemQuestion,competitor,50,itemQuestion,111
sugar-baking,3,3828,itemQuestion,sameCategory,53,itemQuestion,111
sugar-baking,3,3828,itemQuestion,otherCategory,0,itemQuestion,111
sugar-baking,3,3828,itemQuestion,mostSimilar,50,itemQuestion,111
postit-reading,4,3828,itemQuestion,itemQuestion,100,itemQuestion,112
postit-reading,4,3828,itemQuestion,competitor,90,itemQuestion,112
postit-reading,4,3828,itemQuestion,sameCategory,0,itemQuestion,112
postit-reading,4,3828,itemQuestion,otherCategory,0,itemQuestion,112
postit-reading,4,3828,itemQuestion,mostSimilar,49,itemQuestion,112
box-muffins,1,3829,itemQuestion,itemQuestion,100,itemQuestion,113
box-muffins,1,3829,itemQuestion,competitor,75,itemQuestion,113
box-muffins,1,3829,itemQuestion,sameCategory,0,itemQuestion,113
box-muffins,1,3829,itemQuestion,otherCategory,15,itemQuestion,113
box-muffins,1,3829,itemQuestion,mostSimilar,22,itemQuestion,113
sugar-coffee,2,3829,itemQuestion,itemQuestion,99,itemQuestion,114
sugar-coffee,2,3829,itemQuestion,competitor,73,itemQuestion,114
sugar-coffee,2,3829,itemQuestion,sameCategory,50,itemQuestion,114
sugar-coffee,2,3829,itemQuestion,otherCategory,1,itemQuestion,114
sugar-coffee,2,3829,itemQuestion,mostSimilar,78,itemQuestion,114
postit-board,3,3829,itemQuestion,itemQuestion,100,itemQuestion,115
postit-board,3,3829,itemQuestion,competitor,51,itemQuestion,115
postit-board,3,3829,itemQuestion,sameCategory,28,itemQuestion,115
postit-board,3,3829,itemQuestion,otherCategory,30,itemQuestion,115
postit-board,3,3829,itemQuestion,mostSimilar,32,itemQuestion,115
blanket-sleepover,5,3829,itemQuestion,itemQuestion,99,itemQuestion,116
blanket-sleepover,5,3829,itemQuestion,competitor,65,itemQuestion,116
blanket-sleepover,5,3829,itemQuestion,sameCategory,2,itemQuestion,116
blanket-sleepover,5,3829,itemQuestion,otherCategory,1,itemQuestion,116
blanket-sleepover,5,3829,itemQuestion,mostSimilar,2,itemQuestion,116
bottle-plants,2,3830,itemQuestion,itemQuestion,98,itemQuestion,117
bottle-plants,2,3830,itemQuestion,competitor,0,itemQuestion,117
bottle-plants,2,3830,itemQuestion,sameCategory,72,itemQuestion,117
bottle-plants,2,3830,itemQuestion,otherCategory,0,itemQuestion,117
bottle-plants,2,3830,itemQuestion,mostSimilar,18,itemQuestion,117
blanket-sleepover,3,3830,itemQuestion,itemQuestion,100,itemQuestion,118
blanket-sleepover,3,3830,itemQuestion,competitor,86,itemQuestion,118
blanket-sleepover,3,3830,itemQuestion,sameCategory,19,itemQuestion,118
blanket-sleepover,3,3830,itemQuestion,otherCategory,0,itemQuestion,118
blanket-sleepover,3,3830,itemQuestion,mostSimilar,5,itemQuestion,118
handkerchief-injury,4,3830,itemQuestion,itemQuestion,100,itemQuestion,119
handkerchief-injury,4,3830,itemQuestion,competitor,79,itemQuestion,119
handkerchief-injury,4,3830,itemQuestion,sameCategory,20,itemQuestion,119
handkerchief-injury,4,3830,itemQuestion,otherCategory,3,itemQuestion,119
handkerchief-injury,4,3830,itemQuestion,mostSimilar,91,itemQuestion,119
box-muffins,5,3830,itemQuestion,itemQuestion,100,itemQuestion,120
box-muffins,5,3830,itemQuestion,competitor,26,itemQuestion,120
box-muffins,5,3830,itemQuestion,sameCategory,25,itemQuestion,120
box-muffins,5,3830,itemQuestion,otherCategory,24,itemQuestion,120
box-muffins,5,3830,itemQuestion,mostSimilar,10,itemQuestion,120
towel-hair,1,3831,itemQuestion,itemQuestion,100,itemQuestion,121
towel-hair,1,3831,itemQuestion,competitor,48,itemQuestion,121
towel-hair,1,3831,itemQuestion,sameCategory,0,itemQuestion,121
towel-hair,1,3831,itemQuestion,otherCategory,65,itemQuestion,121
towel-hair,1,3831,itemQuestion,mostSimilar,21,itemQuestion,121
sugar-coffee,2,3831,itemQuestion,itemQuestion,100,itemQuestion,122
sugar-coffee,2,3831,itemQuestion,competitor,33,itemQuestion,122
sugar-coffee,2,3831,itemQuestion,sameCategory,25,itemQuestion,122
sugar-coffee,2,3831,itemQuestion,otherCategory,0,itemQuestion,122
sugar-coffee,2,3831,itemQuestion,mostSimilar,10,itemQuestion,122
blanket-sleepover,4,3831,itemQuestion,itemQuestion,99,itemQuestion,123
blanket-sleepover,4,3831,itemQuestion,competitor,73,itemQuestion,123
blanket-sleepover,4,3831,itemQuestion,sameCategory,0,itemQuestion,123
blanket-sleepover,4,3831,itemQuestion,otherCategory,4,itemQuestion,123
blanket-sleepover,4,3831,itemQuestion,mostSimilar,8,itemQuestion,123
sweatpants-sleepover,5,3831,itemQuestion,itemQuestion,99,itemQuestion,124
sweatpants-sleepover,5,3831,itemQuestion,competitor,24,itemQuestion,124
sweatpants-sleepover,5,3831,itemQuestion,sameCategory,5,itemQuestion,124
sweatpants-sleepover,5,3831,itemQuestion,otherCategory,1,itemQuestion,124
sweatpants-sleepover,5,3831,itemQuestion,mostSimilar,3,itemQuestion,124
blanket-sleepover,1,3832,itemQuestion,itemQuestion,100,itemQuestion,125
blanket-sleepover,1,3832,itemQuestion,competitor,87,itemQuestion,125
blanket-sleepover,1,3832,itemQuestion,sameCategory,20,itemQuestion,125
blanket-sleepover,1,3832,itemQuestion,otherCategory,0,itemQuestion,125
blanket-sleepover,1,3832,itemQuestion,mostSimilar,7,itemQuestion,125
postit-board,3,3832,itemQuestion,itemQuestion,100,itemQuestion,126
postit-board,3,3832,itemQuestion,competitor,37,itemQuestion,126
postit-board,3,3832,itemQuestion,sameCategory,50,itemQuestion,126
postit-board,3,3832,itemQuestion,otherCategory,0,itemQuestion,126
postit-board,3,3832,itemQuestion,mostSimilar,14,itemQuestion,126
sugar-coffee,4,3832,itemQuestion,itemQuestion,100,itemQuestion,127
sugar-coffee,4,3832,itemQuestion,competitor,73,itemQuestion,127
sugar-coffee,4,3832,itemQuestion,sameCategory,64,itemQuestion,127
sugar-coffee,4,3832,itemQuestion,otherCategory,0,itemQuestion,127
sugar-coffee,4,3832,itemQuestion,mostSimilar,65,itemQuestion,127
sweatpants-sleepover,5,3832,itemQuestion,itemQuestion,100,itemQuestion,128
sweatpants-sleepover,5,3832,itemQuestion,competitor,36,itemQuestion,128
sweatpants-sleepover,5,3832,itemQuestion,sameCategory,16,itemQuestion,128
sweatpants-sleepover,5,3832,itemQuestion,otherCategory,7,itemQuestion,128
sweatpants-sleepover,5,3832,itemQuestion,mostSimilar,17,itemQuestion,128
postit-board,1,3833,itemQuestion,itemQuestion,87,itemQuestion,129
postit-board,1,3833,itemQuestion,competitor,97,itemQuestion,129
postit-board,1,3833,itemQuestion,sameCategory,10,itemQuestion,129
postit-board,1,3833,itemQuestion,otherCategory,4,itemQuestion,129
postit-board,1,3833,itemQuestion,mostSimilar,5,itemQuestion,129
box-muffins,2,3833,itemQuestion,itemQuestion,94,itemQuestion,130
box-muffins,2,3833,itemQuestion,competitor,90,itemQuestion,130
box-muffins,2,3833,itemQuestion,sameCategory,87,itemQuestion,130
box-muffins,2,3833,itemQuestion,otherCategory,14,itemQuestion,130
box-muffins,2,3833,itemQuestion,mostSimilar,44,itemQuestion,130
handkerchief-injury,4,3833,itemQuestion,itemQuestion,99,itemQuestion,131
handkerchief-injury,4,3833,itemQuestion,competitor,92,itemQuestion,131
handkerchief-injury,4,3833,itemQuestion,sameCategory,85,itemQuestion,131
handkerchief-injury,4,3833,itemQuestion,otherCategory,0,itemQuestion,131
handkerchief-injury,4,3833,itemQuestion,mostSimilar,68,itemQuestion,131
sugar-coffee,5,3833,itemQuestion,itemQuestion,99,itemQuestion,132
sugar-coffee,5,3833,itemQuestion,competitor,74,itemQuestion,132
sugar-coffee,5,3833,itemQuestion,sameCategory,84,itemQuestion,132
sugar-coffee,5,3833,itemQuestion,otherCategory,1,itemQuestion,132
sugar-coffee,5,3833,itemQuestion,mostSimilar,77,itemQuestion,132
pot-garden,1,3834,itemQuestion,itemQuestion,99,itemQuestion,133
pot-garden,1,3834,itemQuestion,competitor,34,itemQuestion,133
pot-garden,1,3834,itemQuestion,sameCategory,29,itemQuestion,133
pot-garden,1,3834,itemQuestion,otherCategory,22,itemQuestion,133
pot-garden,1,3834,itemQuestion,mostSimilar,21,itemQuestion,133
broom-renovation,2,3834,itemQuestion,itemQuestion,99,itemQuestion,134
broom-renovation,2,3834,itemQuestion,competitor,75,itemQuestion,134
broom-renovation,2,3834,itemQuestion,sameCategory,18,itemQuestion,134
broom-renovation,2,3834,itemQuestion,otherCategory,1,itemQuestion,134
broom-renovation,2,3834,itemQuestion,mostSimilar,40,itemQuestion,134
box-muffins,3,3834,itemQuestion,itemQuestion,99,itemQuestion,135
box-muffins,3,3834,itemQuestion,competitor,36,itemQuestion,135
box-muffins,3,3834,itemQuestion,sameCategory,35,itemQuestion,135
box-muffins,3,3834,itemQuestion,otherCategory,37,itemQuestion,135
box-muffins,3,3834,itemQuestion,mostSimilar,32,itemQuestion,135
sweatpants-sleepover,5,3834,itemQuestion,itemQuestion,99,itemQuestion,136
sweatpants-sleepover,5,3834,itemQuestion,competitor,14,itemQuestion,136
sweatpants-sleepover,5,3834,itemQuestion,sameCategory,20,itemQuestion,136
sweatpants-sleepover,5,3834,itemQuestion,otherCategory,0,itemQuestion,136
sweatpants-sleepover,5,3834,itemQuestion,mostSimilar,60,itemQuestion,136
sugar-coffee,1,3835,itemQuestion,itemQuestion,96,itemQuestion,137
sugar-coffee,1,3835,itemQuestion,competitor,84,itemQuestion,137
sugar-coffee,1,3835,itemQuestion,sameCategory,71,itemQuestion,137
sugar-coffee,1,3835,itemQuestion,otherCategory,0,itemQuestion,137
sugar-coffee,1,3835,itemQuestion,mostSimilar,40,itemQuestion,137
broom-renovation,3,3835,itemQuestion,itemQuestion,97,itemQuestion,138
broom-renovation,3,3835,itemQuestion,competitor,88,itemQuestion,138
broom-renovation,3,3835,itemQuestion,sameCategory,65,itemQuestion,138
broom-renovation,3,3835,itemQuestion,otherCategory,0,itemQuestion,138
broom-renovation,3,3835,itemQuestion,mostSimilar,83,itemQuestion,138
umbrella-summer,4,3835,itemQuestion,itemQuestion,96,itemQuestion,139
umbrella-summer,4,3835,itemQuestion,competitor,6,itemQuestion,139
umbrella-summer,4,3835,itemQuestion,sameCategory,75,itemQuestion,139
umbrella-summer,4,3835,itemQuestion,otherCategory,59,itemQuestion,139
umbrella-summer,4,3835,itemQuestion,mostSimilar,36,itemQuestion,139
bottle-plants,5,3835,itemQuestion,itemQuestion,99,itemQuestion,140
bottle-plants,5,3835,itemQuestion,competitor,27,itemQuestion,140
bottle-plants,5,3835,itemQuestion,sameCategory,85,itemQuestion,140
bottle-plants,5,3835,itemQuestion,otherCategory,4,itemQuestion,140
bottle-plants,5,3835,itemQuestion,mostSimilar,50,itemQuestion,140
broom-renovation,1,3836,itemQuestion,itemQuestion,99,itemQuestion,141
broom-renovation,1,3836,itemQuestion,competitor,97,itemQuestion,141
broom-renovation,1,3836,itemQuestion,sameCategory,20,itemQuestion,141
broom-renovation,1,3836,itemQuestion,otherCategory,1,itemQuestion,141
broom-renovation,1,3836,itemQuestion,mostSimilar,16,itemQuestion,141
towel-hair,2,3836,itemQuestion,itemQuestion,98,itemQuestion,142
towel-hair,2,3836,itemQuestion,competitor,80,itemQuestion,142
towel-hair,2,3836,itemQuestion,sameCategory,45,itemQuestion,142
towel-hair,2,3836,itemQuestion,otherCategory,60,itemQuestion,142
towel-hair,2,3836,itemQuestion,mostSimilar,67,itemQuestion,142
pot-garden,3,3836,itemQuestion,itemQuestion,100,itemQuestion,143
pot-garden,3,3836,itemQuestion,competitor,44,itemQuestion,143
pot-garden,3,3836,itemQuestion,sameCategory,1,itemQuestion,143
pot-garden,3,3836,itemQuestion,otherCategory,2,itemQuestion,143
pot-garden,3,3836,itemQuestion,mostSimilar,1,itemQuestion,143
candy-halloween,5,3836,itemQuestion,itemQuestion,99,itemQuestion,144
candy-halloween,5,3836,itemQuestion,competitor,21,itemQuestion,144
candy-halloween,5,3836,itemQuestion,sameCategory,87,itemQuestion,144
candy-halloween,5,3836,itemQuestion,otherCategory,53,itemQuestion,144
candy-halloween,5,3836,itemQuestion,mostSimilar,100,itemQuestion,144
pot-jam,2,3847,itemQuestion,itemQuestion,99,itemQuestion,145
pot-jam,2,3847,itemQuestion,competitor,71,itemQuestion,145
pot-jam,2,3847,itemQuestion,sameCategory,6,itemQuestion,145
pot-jam,2,3847,itemQuestion,otherCategory,9,itemQuestion,145
pot-jam,2,3847,itemQuestion,mostSimilar,65,itemQuestion,145
box-bbq,3,3847,itemQuestion,itemQuestion,100,itemQuestion,146
box-bbq,3,3847,itemQuestion,competitor,65,itemQuestion,146
box-bbq,3,3847,itemQuestion,sameCategory,85,itemQuestion,146
box-bbq,3,3847,itemQuestion,otherCategory,20,itemQuestion,146
box-bbq,3,3847,itemQuestion,mostSimilar,3,itemQuestion,146
postit-reading,4,3847,itemQuestion,itemQuestion,99,itemQuestion,147
postit-reading,4,3847,itemQuestion,competitor,55,itemQuestion,147
postit-reading,4,3847,itemQuestion,sameCategory,1,itemQuestion,147
postit-reading,4,3847,itemQuestion,otherCategory,1,itemQuestion,147
postit-reading,4,3847,itemQuestion,mostSimilar,22,itemQuestion,147
towel-clothes,5,3847,itemQuestion,itemQuestion,99,itemQuestion,148
towel-clothes,5,3847,itemQuestion,competitor,25,itemQuestion,148
towel-clothes,5,3847,itemQuestion,sameCategory,60,itemQuestion,148
towel-clothes,5,3847,itemQuestion,otherCategory,63,itemQuestion,148
towel-clothes,5,3847,itemQuestion,mostSimilar,56,itemQuestion,148
bottle-plants,1,3854,itemQuestion,itemQuestion,100,itemQuestion,149
bottle-plants,1,3854,itemQuestion,competitor,100,itemQuestion,149
bottle-plants,1,3854,itemQuestion,sameCategory,60,itemQuestion,149
bottle-plants,1,3854,itemQuestion,otherCategory,3,itemQuestion,149
bottle-plants,1,3854,itemQuestion,mostSimilar,58,itemQuestion,149
broom-renovation,3,3854,itemQuestion,itemQuestion,100,itemQuestion,150
broom-renovation,3,3854,itemQuestion,competitor,69,itemQuestion,150
broom-renovation,3,3854,itemQuestion,sameCategory,3,itemQuestion,150
broom-renovation,3,3854,itemQuestion,otherCategory,0,itemQuestion,150
broom-renovation,3,3854,itemQuestion,mostSimilar,56,itemQuestion,150
sugar-coffee,4,3854,itemQuestion,itemQuestion,100,itemQuestion,151
sugar-coffee,4,3854,itemQuestion,competitor,61,itemQuestion,151
sugar-coffee,4,3854,itemQuestion,sameCategory,54,itemQuestion,151
sugar-coffee,4,3854,itemQuestion,otherCategory,0,itemQuestion,151
sugar-coffee,4,3854,itemQuestion,mostSimilar,60,itemQuestion,151
candy-halloween,5,3854,itemQuestion,itemQuestion,100,itemQuestion,152
candy-halloween,5,3854,itemQuestion,competitor,56,itemQuestion,152
candy-halloween,5,3854,itemQuestion,sameCategory,30,itemQuestion,152
candy-halloween,5,3854,itemQuestion,otherCategory,37,itemQuestion,152
candy-halloween,5,3854,itemQuestion,mostSimilar,63,itemQuestion,152
broom-snow,2,3858,itemQuestion,itemQuestion,57,itemQuestion,153
broom-snow,2,3858,itemQuestion,competitor,67,itemQuestion,153
broom-snow,2,3858,itemQuestion,sameCategory,57,itemQuestion,153
broom-snow,2,3858,itemQuestion,otherCategory,58,itemQuestion,153
broom-snow,2,3858,itemQuestion,mostSimilar,17,itemQuestion,153
bottle-water,3,3858,itemQuestion,itemQuestion,82,itemQuestion,154
bottle-water,3,3858,itemQuestion,competitor,62,itemQuestion,154
