itemName,predictions,category,response_option,prompt,settingName,context_nr,model,global_category
broom-renovation,"No, I don't have a broom, but you can use my hand brush and shovel for cleaning.",sameCategory,shovel,one-shot CoT,broom,context1,gpt-4-0613,competitor_c2
broom-renovation,"No, I don't have a broom, but I do have a hand brush and a vacuum cleaner that you can use.",sameCategory,vacuum,one-shot CoT,broom,context1,gpt-4-0613,competitor_c1
broom-renovation,"No, I don't have a broom, but you can borrow my hand brush and shovel.",sameCategory,shovel,one-shot CoT,broom,context1,gpt-4-0613,competitor_c2
broom-snow,"No, I don't have a broom, but I do have a shovel that you could use to clear the snow.",competitor,shovel,one-shot CoT,broom,context2,gpt-4-0613,competitor_c2
broom-snow,"No, I don't have a broom, but you can use the shovel to clear the snow from the driveway.",competitor,shovel,one-shot CoT,broom,context2,gpt-4-0613,competitor_c2
broom-snow,"No, I don't have a broom, but you can use my shovel to clear the driveway.",competitor,shovel,one-shot CoT,broom,context2,gpt-4-0613,competitor_c2
broom-snow,"No, I don't have a broom, but you can use the shovel.",competitor,shovel,one-shot CoT,broom,context2,gpt-4-0613,competitor_c2
broom-snow,"No, I don't have a broom, but you can use the shovel to clear the snow.",competitor,shovel,one-shot CoT,broom,context2,gpt-4-0613,competitor_c2
sweatpants-sleepover,"No, I don't have sweatpants, but you can use these pyjamas instead.",competitor,pyjamas,one-shot CoT,sweatpants,context1,gpt-4-0613,competitor_c1
sweatpants-sleepover,"No, I don't have sweatpants, but you can use these leggings or shorts for the night.",sameCategory,"leggings, shorts",one-shot CoT,sweatpants,context1,gpt-4-0613,"competitor_c2,mostSimilar"
sweatpants-sleepover,"No, I don't have sweatpants, but you can use these pair of leggings or shorts for the night.",sameCategory,"leggings, shorts",one-shot CoT,sweatpants,context1,gpt-4-0613,"competitor_c2,mostSimilar"
sweatpants-sleepover,"No, I don't have sweatpants, but you can use the pair of leggings or the shorts.",sameCategory,"leggings, shorts",one-shot CoT,sweatpants,context1,gpt-4-0613,"competitor_c2,mostSimilar"
sweatpants-sleepover,"No, I don't have sweatpants, but you can wear my pair of leggings or shorts for the night.",sameCategory,"leggings, shorts",one-shot CoT,sweatpants,context1,gpt-4-0613,"competitor_c2,mostSimilar"
sweatpants-spill,"No, I don't have sweatpants, but I can offer you a pair of shorts or a towel to dry off.",sameCategory,"shorts, towel",one-shot CoT,sweatpants,context2,gpt-4-0613,"competitor_c2,otherCategory"
sweatpants-spill,"No, I don't have sweatpants, but you can use these shorts.",competitor,shorts,one-shot CoT,sweatpants,context2,gpt-4-0613,competitor_c2
sweatpants-spill,"No, I don't have sweatpants, but you can wear these shorts.",competitor,shorts,one-shot CoT,sweatpants,context2,gpt-4-0613,competitor_c2
sweatpants-spill,"No, I don't have sweatpants, but you can have these shorts.",competitor,shorts,one-shot CoT,sweatpants,context2,gpt-4-0613,competitor_c2
sweatpants-spill,"No, I don't have sweatpants, but you can borrow a pair of shorts.",competitor,shorts,one-shot CoT,sweatpants,context2,gpt-4-0613,competitor_c2
umbrella-summer,"No, I don't have an umbrella, but you can use the tent for shade.",otherCategory,tent,one-shot CoT,umbrella,context1,gpt-4-0613,otherCategory
umbrella-summer,"No, I don't have an umbrella, but you can use the tent for shade.",otherCategory,tent,one-shot CoT,umbrella,context1,gpt-4-0613,otherCategory
umbrella-summer,"No, I don't have an umbrella, but you can use the tent to shield yourself from the sun.",otherCategory,tent,one-shot CoT,umbrella,context1,gpt-4-0613,otherCategory
umbrella-summer,"No, I don't have an umbrella, but you can use the tent for shade.",otherCategory,tent,one-shot CoT,umbrella,context1,gpt-4-0613,otherCategory
umbrella-summer,"No, I don't have an umbrella, but you can use the tent to shade yourself from the sun.",otherCategory,tent,one-shot CoT,umbrella,context1,gpt-4-0613,otherCategory
umbrella-rain,"No, I don't have an umbrella, but you can use the rain jacket.",competitor,rainjacket,one-shot CoT,umbrella,context2,gpt-4-0613,competitor_c2
umbrella-rain,"No, I don't have an umbrella, but you can use the rain jacket.",competitor,rainjacket,one-shot CoT,umbrella,context2,gpt-4-0613,competitor_c2
umbrella-rain,"No, I don't have an umbrella, but you can use the rain jacket.",competitor,rainjacket,one-shot CoT,umbrella,context2,gpt-4-0613,competitor_c2
umbrella-rain,"No, I don't have an umbrella, but you can use the rain jacket to stay dry.",competitor,rainjacket,one-shot CoT,umbrella,context2,gpt-4-0613,competitor_c2
umbrella-rain,"No, I don't have an umbrella, but you can use the rain jacket.",competitor,rainjacket,one-shot CoT,umbrella,context2,gpt-4-0613,competitor_c2
postit-board,"No, I don't have post-its, but we can use the sticky bookmarks for noting down thoughts and sticking them to the whiteboard.",sameCategory,bookmarks,one-shot CoT,postit,context1,gpt-4-0613,competitor_c2
postit-board,"No, I don't have post-its, but you can use the sticky bookmarks to jot down and stick ideas on the whiteboard.",sameCategory,bookmarks,one-shot CoT,postit,context1,gpt-4-0613,competitor_c2
postit-board,"No, I don't have post-its, but we can use the sticky bookmarks to jot down our ideas.",sameCategory,bookmarks,one-shot CoT,postit,context1,gpt-4-0613,competitor_c2
postit-board,"No, I don't have post-its, but we do have sticky bookmarks that will work just as well for jotting down ideas and sticking them on the whiteboard.",sameCategory,bookmarks,one-shot CoT,postit,context1,gpt-4-0613,competitor_c2
postit-board,"No, I don't have post-its, but you could use the sticky bookmarks to note down everyone's ideas on the whiteboard.",sameCategory,bookmarks,one-shot CoT,postit,context1,gpt-4-0613,competitor_c2
postit-reading,"No, I don't have post-its, but you can use these sticky bookmarks and the notebook for taking notes.",sameCategory,"notebook, bookmarks",one-shot CoT,postit,context2,gpt-4-0613,"competitor_c2,mostSimilar"
postit-reading,"No, I don't have post-its, but you can use these sticky bookmarks for marking pages and this notebook for taking notes.",sameCategory,"notebook, bookmarks",one-shot CoT,postit,context2,gpt-4-0613,"competitor_c2,mostSimilar"
postit-reading,"No, I don't have post-its, but you can use these sticky bookmarks for marking pages, and here's a notebook for taking notes.",sameCategory,"notebook, bookmarks",one-shot CoT,postit,context2,gpt-4-0613,"competitor_c2,mostSimilar"
postit-reading,"No, I don't have post-its, but you can use these sticky bookmarks for noting down your points.",competitor,bookmarks,one-shot CoT,postit,context2,gpt-4-0613,competitor_c2
postit-reading,"No, I don't have post-its, but you can use these sticky bookmarks for marking pages and this notebook for taking your notes.",sameCategory,"notebook, bookmarks",one-shot CoT,postit,context2,gpt-4-0613,"competitor_c2,mostSimilar"
pot-garden,"No, I don't have a spare pot, but you can use the old cans as they would make great containers for small plants.",competitor,cans,one-shot CoT,pot,context1,gpt-4-0613,competitor_c1
pot-garden,"No, I don't have a spare pot, but you can use these old cans or the camping cookware. They should work as temporary solutions for your plants.",sameCategory,"cans, campingcookware",one-shot CoT,pot,context1,gpt-4-0613,"competitor_c1,mostSimilar"
pot-garden,"No, I don't have a spare pot, but you can use the old cans. They should work just fine as temporary plant pots.",competitor,cans,one-shot CoT,pot,context1,gpt-4-0613,competitor_c1
pot-garden,"No, I don't have a spare pot, but you could use one of my old cans.",competitor,cans,one-shot CoT,pot,context1,gpt-4-0613,competitor_c1
pot-garden,"No, I don't have a spare pot, but you can use the old cans or the camping cookware for your plants.",sameCategory,"cans, campingcookware",one-shot CoT,pot,context1,gpt-4-0613,"competitor_c1,mostSimilar"
pot-jam,"No, I don't have a spare pot, but you can use the camping cookware or the pans.",sameCategory,"campingcookware, pans",one-shot CoT,pot,context2,gpt-4-0613,"competitor_c2,mostSimilar"
pot-jam,"No, I don't have a pot, but you can use the camping cookware, they should serve the same purpose.",competitor,pans,one-shot CoT,pot,context2,gpt-4-0613,competitor_c2
pot-jam,"No, I don't have a pot, but you can use my camping cookware or the pans.",sameCategory,"campingcookware, pans",one-shot CoT,pot,context2,gpt-4-0613,"competitor_c2,mostSimilar"
pot-jam,"No, I don't have a spare pot, but you can use my camping cookware or pans.",sameCategory,"campingcookware, pans",one-shot CoT,pot,context2,gpt-4-0613,"competitor_c2,mostSimilar"
pot-jam,"No, I don't have a pot, but you can use the camping cookware or some of the extra pans.",sameCategory,"campingcookware, pans",one-shot CoT,pot,context2,gpt-4-0613,"competitor_c2,mostSimilar"
towel-hair,"No, I don't have a towel, but you can use the hair dryer or there's a dryer in the basement you might use for your clothes.",sameCategory,"hairdryer, dryer",one-shot CoT,towel,context1,gpt-4-0613,"competitor_c1,competitor_c2"
towel-hair,"No, I don't have a towel, but you can use the hair dryer to dry your hair.",competitor,hairdryer,one-shot CoT,towel,context1,gpt-4-0613,competitor_c1
towel-hair,"No, I don't have a towel, but you can use the hair dryer to dry your hair.",competitor,hairdryer,one-shot CoT,towel,context1,gpt-4-0613,competitor_c1
towel-hair,"No, I don't have a towel, but you can use the hair dryer to dry your hair.",competitor,hairdryer,one-shot CoT,towel,context1,gpt-4-0613,competitor_c1
towel-hair,"No, I don't have a towel, but you can use the hair dryer or the dryer in the basement to dry your hair.",sameCategory,"hairdryer, dryer",one-shot CoT,towel,context1,gpt-4-0613,"competitor_c1,competitor_c2"
towel-clothes,"No, I don't have a towel, but there's a dryer in the basement you could use to dry your costumes.",competitor,dryer,one-shot CoT,towel,context2,gpt-4-0613,competitor_c2
towel-clothes,"No, I don't have a towel, but you can use the dryer in the basement to dry your costumes.",competitor,dryer,one-shot CoT,towel,context2,gpt-4-0613,competitor_c2
towel-clothes,"No, I don't have a towel, but you can use the dryer in the basement.",competitor,dryer,one-shot CoT,towel,context2,gpt-4-0613,competitor_c2
towel-clothes,"No, I don't have a towel, but you can use the dryer in the basement to dry your costumes.",competitor,dryer,one-shot CoT,towel,context2,gpt-4-0613,competitor_c2
towel-clothes,"No, I don't have a towel, but you can use the dryer in the basement.",competitor,dryer,one-shot CoT,towel,context2,gpt-4-0613,competitor_c2
candy-halloween,"No, we don't have any candy, but we have a big chocolate bar we can give them.",mostSimilar,chocolate,one-shot CoT,candy,context1,gpt-4-0613,mostSimilar
candy-halloween,"No, we do not have any candy, but we have a big chocolate bar that we can share amongst the kids.",mostSimilar,chocolate,one-shot CoT,candy,context1,gpt-4-0613,mostSimilar
candy-halloween,"No, we don't have any candy, but we do have a big chocolate bar we can share.",mostSimilar,chocolate,one-shot CoT,candy,context1,gpt-4-0613,mostSimilar
candy-halloween,"No, we don't have any candy, but we do have a big chocolate bar that we can give them.",mostSimilar,chocolate,one-shot CoT,candy,context1,gpt-4-0613,mostSimilar
candy-halloween,"No, we don't have any small candies, but we do have a big chocolate bar we can share among them.",mostSimilar,chocolate,one-shot CoT,candy,context1,gpt-4-0613,mostSimilar
candy-dessert,"No, we don't have any candy, but we do have a big chocolate bar you can have.",mostSimilar,chocolate,one-shot CoT,candy,context2,gpt-4-0613,mostSimilar
candy-dessert,"No, we don't have any candy, but we do have a big chocolate bar you could have.",mostSimilar,chocolate,one-shot CoT,candy,context2,gpt-4-0613,mostSimilar
candy-dessert,"No, we don't have any candy, but we do have a big chocolate bar you could have.",mostSimilar,chocolate,one-shot CoT,candy,context2,gpt-4-0613,mostSimilar
candy-dessert,"No, we don't have any candy, but we do have a big chocolate bar you could have.",mostSimilar,chocolate,one-shot CoT,candy,context2,gpt-4-0613,mostSimilar
candy-dessert,"No, we don't have any candy, but we do have a big chocolate bar you could have.",mostSimilar,chocolate,one-shot CoT,candy,context2,gpt-4-0613,mostSimilar
bottle-plants,"No, I don't have a bottle, but you can use the watering can.",competitor,wateringcan,one-shot CoT,bottle,context1,gpt-4-0613,competitor_c1
bottle-plants,"No, I don't have a bottle, but you can use the watering can.",competitor,wateringcan,one-shot CoT,bottle,context1,gpt-4-0613,competitor_c1
bottle-plants,"No, I don't have a bottle, but you can use the watering can to water the plants.",competitor,wateringcan,one-shot CoT,bottle,context1,gpt-4-0613,competitor_c1
bottle-plants,"No, we don't have a bottle, but you can use the watering can to water the plants.",competitor,wateringcan,one-shot CoT,bottle,context1,gpt-4-0613,competitor_c1
bottle-plants,"No, I don't have a bottle, but you can use the watering can.",competitor,wateringcan,one-shot CoT,bottle,context1,gpt-4-0613,competitor_c1
bottle-water,"No, I don't have a bottle, but you can use the to-go mug.",competitor,mug,one-shot CoT,bottle,context2,gpt-4-0613,competitor_c2
bottle-water,"No, I don't have a bottle, but you can use the to-go mug for your water.",competitor,mug,one-shot CoT,bottle,context2,gpt-4-0613,competitor_c2
bottle-water,"No, I don't have a bottle, but you can use the to-go mug.",competitor,mug,one-shot CoT,bottle,context2,gpt-4-0613,competitor_c2
bottle-water,"No, I don't have a bottle, but you can use the to-go mug to carry water.",competitor,mug,one-shot CoT,bottle,context2,gpt-4-0613,competitor_c2
bottle-water,"No, I don't have a bottle, but you can use the to-go mug.",competitor,mug,one-shot CoT,bottle,context2,gpt-4-0613,competitor_c2
blanket-sleepover,"No, I don't have a spare blanket, but you can have the sleeping bag.",competitor,sleepingbag,one-shot QA,blanket,context1,gpt-4-0613,competitor_c1
blanket-sleepover,"No, I don't have a spare blanket, but you can have the sleeping bag.",competitor,sleepingbag,one-shot QA,blanket,context1,gpt-4-0613,competitor_c1
blanket-sleepover,"No, I don't have a spare blanket, but you can use the sleeping bag.",competitor,sleepingbag,one-shot QA,blanket,context1,gpt-4-0613,competitor_c1
blanket-sleepover,"No, I don't have a spare blanket, but you can have the sleeping bag.",competitor,sleepingbag,one-shot QA,blanket,context1,gpt-4-0613,competitor_c1
blanket-sleepover,"No, I don't have a spare blanket, but you can borrow my sleeping bag.",competitor,sleepingbag,one-shot QA,blanket,context1,gpt-4-0613,competitor_c1
blanket-transportation,"No, I don't have a spare blanket, but you can use the bubble wrap to pack your mirror.",competitor,bubblewrap,one-shot QA,blanket,context2,gpt-4-0613,competitor_c2
blanket-transportation,"No, I don't have a blanket, but you can use the bubble wrap.",competitor,bubblewrap,one-shot QA,blanket,context2,gpt-4-0613,competitor_c2
blanket-transportation,"No, I don't have a blanket, but you can use the bubble wrap to protect your mirror.",competitor,bubblewrap,one-shot QA,blanket,context2,gpt-4-0613,competitor_c2
blanket-transportation,"No, I don't have a blanket, but you can use the bubble wrap to protect your mirror during the move.",competitor,bubblewrap,one-shot QA,blanket,context2,gpt-4-0613,competitor_c2
blanket-transportation,"No, I don't have a spare blanket, but you could use the bubble wrap to protect your mirror during transportation.",competitor,bubblewrap,one-shot QA,blanket,context2,gpt-4-0613,competitor_c2
box-muffins,"No, I don't have a box, but you can use the carton or the ziplock bag.",sameCategory,"carton, ziplock",one-shot QA,box,context1,gpt-4-0613,"competitor_c2,mostSimilar"
box-muffins,"No, I don't have a box, but you can use the carton or a ziplock bag for your pastries.",sameCategory,"carton, ziplock",one-shot QA,box,context1,gpt-4-0613,"competitor_c2,mostSimilar"
box-muffins,"No, I don't have a box, but you can use the carton or a ziplock bag.",sameCategory,"carton, ziplock",one-shot QA,box,context1,gpt-4-0613,"competitor_c2,mostSimilar"
box-muffins,"No, I don't have a box, but you can use the carton or ziplock bag for the pastries.",sameCategory,"carton, ziplock",one-shot QA,box,context1,gpt-4-0613,"competitor_c2,mostSimilar"
box-muffins,"No, I don't have a box, but you can use the ziplock bag or the carton.",sameCategory,"carton, ziplock",one-shot QA,box,context1,gpt-4-0613,"competitor_c2,mostSimilar"
box-bbq,"No, I don't have a box, but you can use the carton or a ziplock bag.",sameCategory,"carton, ziplock",one-shot QA,box,context2,gpt-4-0613,"competitor_c2,mostSimilar"
box-bbq,"No, I don't have a box, but you can use the carton or the ziplock bag.",sameCategory,"carton, ziplock",one-shot QA,box,context2,gpt-4-0613,"competitor_c2,mostSimilar"
box-bbq,"No, I don't have a box, but you can use this carton or a ziplock bag.",sameCategory,"carton, ziplock",one-shot QA,box,context2,gpt-4-0613,"competitor_c2,mostSimilar"
box-bbq,"No, I don't have a box, but you can use the ziplock bag or the carton.",sameCategory,"carton, ziplock",one-shot QA,box,context2,gpt-4-0613,"competitor_c2,mostSimilar"
box-bbq,"No, I don't have a box, but you can use the carton or the ziplock bag.",sameCategory,"carton, ziplock",one-shot QA,box,context2,gpt-4-0613,"competitor_c2,mostSimilar"
sugar-coffee,"No, I don't have sugar, but you can use honey or agave syrup.",sameCategory,"syrup, honey",one-shot QA,sugar,context1,gpt-4-0613,"competitor_c2,mostSimilar"
sugar-coffee,"No, I don't have sugar, but you can use honey or agave syrup as a sweetener.",sameCategory,"sweetener, syrup, honey",one-shot QA,sugar,context1,gpt-4-0613,"competitor_c1,competitor_c2,mostSimilar"
sugar-coffee,"No, I don't have sugar, but you can use honey or agave syrup.",sameCategory,"syrup, honey",one-shot QA,sugar,context1,gpt-4-0613,"competitor_c2,mostSimilar"
sugar-coffee,"No, I don't have sugar, but you can use honey or agave syrup as a sweetener.",sameCategory,"sweetener, syrup, honey",one-shot QA,sugar,context1,gpt-4-0613,"competitor_c1,competitor_c2,mostSimilar"
sugar-coffee,"No, I don't have sugar, but you can use honey or agave syrup.",sameCategory,"syrup, honey",one-shot QA,sugar,context1,gpt-4-0613,"competitor_c2,mostSimilar"
sugar-baking,"No, I don't have sugar, but you can use the agave syrup or honey instead.",sameCategory,"syrup, honey",one-shot QA,sugar,context2,gpt-4-0613,"competitor_c2,mostSimilar"
sugar-baking,"No, I don't have sugar, but you can use the agave syrup or honey instead.",sameCategory,"syrup, honey",one-shot QA,sugar,context2,gpt-4-0613,"competitor_c2,mostSimilar"
sugar-baking,"No, I don't have sugar, but you can use the agave syrup or honey instead.",sameCategory,"syrup, honey",one-shot QA,sugar,context2,gpt-4-0613,"competitor_c2,mostSimilar"
sugar-baking,"No, I don't have sugar, but you can use the agave syrup or honey as a substitute.",sameCategory,"syrup, honey",one-shot QA,sugar,context2,gpt-4-0613,"competitor_c2,mostSimilar"
sugar-baking,"No, I don't have sugar, but you can use the agave syrup or honey instead.",sameCategory,"syrup, honey",one-shot QA,sugar,context2,gpt-4-0613,"competitor_c2,mostSimilar"
handkerchief-injury,"No, I don't have a handkerchief, but I do have some paper napkins you can use.",mostSimilar,napkins,one-shot QA,handkerchief,context1,gpt-4-0613,mostSimilar
handkerchief-injury,"No, I don't have a handkerchief, but I do have some paper napkins you can use.",mostSimilar,napkins,one-shot QA,handkerchief,context1,gpt-4-0613,mostSimilar
handkerchief-injury,"No, I don't have a handkerchief, but I do have some paper napkins and wet wipes you can use.",sameCategory,"napkins, wetwipes",one-shot QA,handkerchief,context1,gpt-4-0613,"competitor_c2,mostSimilar"
handkerchief-injury,"No, I don't have a handkerchief, but I do have some paper napkins that you can use.",mostSimilar,napkins,one-shot QA,handkerchief,context1,gpt-4-0613,mostSimilar
handkerchief-injury,"No, I don't have a handkerchief, but I do have some paper napkins and wet wipes that you could use.",sameCategory,"napkins, wetwipes",one-shot QA,handkerchief,context1,gpt-4-0613,"competitor_c2,mostSimilar"
handkerchief-sauce,"No, I don't have a handkerchief, but here are some wet wipes that can help you clean that sauce spill.",competitor,wetwipes,one-shot QA,handkerchief,context2,gpt-4-0613,competitor_c2
handkerchief-sauce,"No, I don't have a handkerchief, but you can use these wet wipes.",competitor,wetwipes,one-shot QA,handkerchief,context2,gpt-4-0613,competitor_c2
handkerchief-sauce,"No, I don't have a handkerchief, but I do have some wet wipes that you could use to clean your sweater.",competitor,wetwipes,one-shot QA,handkerchief,context2,gpt-4-0613,competitor_c2
handkerchief-sauce,"No, I don't have a handkerchief, but you can use these wet wipes to clean your sweater.",competitor,wetwipes,one-shot QA,handkerchief,context2,gpt-4-0613,competitor_c2
handkerchief-sauce,"No, I don't have a handkerchief, but I do have some wet wipes you can use.",competitor,wetwipes,one-shot QA,handkerchief,context2,gpt-4-0613,competitor_c2
broom-renovation,"No, I don't have a broom, but you can borrow my hand brush and shovel.",sameCategory,shovel,one-shot QA,broom,context1,gpt-4-0613,competitor_c2
broom-renovation,"No, I don't have a broom, but you can borrow my hand brush and shovel.",sameCategory,shovel,one-shot QA,broom,context1,gpt-4-0613,competitor_c2
broom-renovation,"No, I don't have a broom, but you can use the hand brush and the shovel.",sameCategory,shovel,one-shot QA,broom,context1,gpt-4-0613,competitor_c2
broom-renovation,"No, I don't have a broom, but you can use my hand brush or vacuum cleaner.",sameCategory,vacuum,one-shot QA,broom,context1,gpt-4-0613,competitor_c1
broom-renovation,"No, I don't have a broom, but you can use my hand brush and shovel.",sameCategory,shovel,one-shot QA,broom,context1,gpt-4-0613,competitor_c2
broom-snow,"No, I don't have a broom, but you can use the shovel to clear the snow.",competitor,shovel,one-shot QA,broom,context2,gpt-4-0613,competitor_c2
broom-snow,"No, I don't have a broom, but you can borrow my shovel or hand brush to clear the snow.",sameCategory,shovel,one-shot QA,broom,context2,gpt-4-0613,competitor_c2
broom-snow,"No, I don't have a broom, but you can use my hand brush.",mostSimilar,handbrush,one-shot QA,broom,context2,gpt-4-0613,mostSimilar
broom-snow,"No, I don't have a broom, but you can use my shovel.",competitor,shovel,one-shot QA,broom,context2,gpt-4-0613,competitor_c2
broom-snow,"No, I don't have a broom, but you can use the shovel.",competitor,shovel,one-shot QA,broom,context2,gpt-4-0613,competitor_c2
sweatpants-sleepover,"No, I don't have sweatpants, but you can have the pair of leggings or shorts.",sameCategory,"leggings, shorts",one-shot QA,sweatpants,context1,gpt-4-0613,"competitor_c2,mostSimilar"
sweatpants-sleepover,"No, I don't have sweatpants, but you can use my pyjamas or a pair of leggings.",sameCategory,"pyjamas, leggings",one-shot QA,sweatpants,context1,gpt-4-0613,"competitor_c1,mostSimilar"
sweatpants-sleepover,"No, I don't have sweatpants, but you can use my pair of leggings or shorts.",sameCategory,"leggings, shorts",one-shot QA,sweatpants,context1,gpt-4-0613,"competitor_c2,mostSimilar"
sweatpants-sleepover,"No, I don't have sweatpants, but you can borrow my pyjamas or shorts.",sameCategory,"pyjamas, shorts",one-shot QA,sweatpants,context1,gpt-4-0613,"competitor_c1,competitor_c2"
sweatpants-sleepover,"No, I don't have sweatpants, but you can wear these leggings or shorts for the night.",sameCategory,"leggings, shorts",one-shot QA,sweatpants,context1,gpt-4-0613,"competitor_c2,mostSimilar"
sweatpants-spill,"No, I don't have sweatpants, but you can borrow a pair of shorts.",competitor,shorts,one-shot QA,sweatpants,context2,gpt-4-0613,competitor_c2
sweatpants-spill,"No, I don't have sweatpants, but you can use these shorts.",competitor,shorts,one-shot QA,sweatpants,context2,gpt-4-0613,competitor_c2
sweatpants-spill,"No, I don't have sweatpants, but you can use these shorts.",competitor,shorts,one-shot QA,sweatpants,context2,gpt-4-0613,competitor_c2
sweatpants-spill,"No, I don't have sweatpants, but you can borrow a pair of shorts.",competitor,shorts,one-shot QA,sweatpants,context2,gpt-4-0613,competitor_c2
sweatpants-spill,"No, I don't have sweatpants, but you can use these shorts.",competitor,shorts,one-shot QA,sweatpants,context2,gpt-4-0613,competitor_c2
umbrella-summer,"No, I don't have an umbrella, but you can use the tent to protect yourself from the sun.",otherCategory,tent,one-shot QA,umbrella,context1,gpt-4-0613,otherCategory
umbrella-summer,"No, I don't have an umbrella, but you can use the tent for shade.",otherCategory,tent,one-shot QA,umbrella,context1,gpt-4-0613,otherCategory
umbrella-summer,"No, I don't have an umbrella, but you can use the tent for shade.",otherCategory,tent,one-shot QA,umbrella,context1,gpt-4-0613,otherCategory
umbrella-summer,"No, I don't have an umbrella, but you can use the tent for shade.",otherCategory,tent,one-shot QA,umbrella,context1,gpt-4-0613,otherCategory
umbrella-summer,"No, I don't have an umbrella, but you can use the tent for shade.",otherCategory,tent,one-shot QA,umbrella,context1,gpt-4-0613,otherCategory
umbrella-rain,"No, I don't have an umbrella, but you can use the rain jacket.",competitor,rainjacket,one-shot QA,umbrella,context2,gpt-4-0613,competitor_c2
umbrella-rain,"No, I don't have an umbrella, but you can use the rain jacket.",competitor,rainjacket,one-shot QA,umbrella,context2,gpt-4-0613,competitor_c2
umbrella-rain,"No, I don't have an umbrella, but you can borrow the rain jacket.",competitor,rainjacket,one-shot QA,umbrella,context2,gpt-4-0613,competitor_c2
umbrella-rain,"No, I don't have an umbrella, but you can use the rain jacket.",competitor,rainjacket,one-shot QA,umbrella,context2,gpt-4-0613,competitor_c2
umbrella-rain,"No, I don't have an umbrella, but you can use the rain jacket.",competitor,rainjacket,one-shot QA,umbrella,context2,gpt-4-0613,competitor_c2
postit-board,"No, I don't have post-its, but you can use these sticky bookmarks to jot down your ideas.",sameCategory,bookmarks,one-shot QA,postit,context1,gpt-4-0613,competitor_c2
postit-board,"No, I don't have post-its, but you can use the sticky bookmarks to jot down the ideas.",sameCategory,bookmarks,one-shot QA,postit,context1,gpt-4-0613,competitor_c2
postit-board,"No, I don't have post-its, but you can use the sticky bookmarks to jot down and stick the ideas on the whiteboard.",sameCategory,bookmarks,one-shot QA,postit,context1,gpt-4-0613,competitor_c2
postit-board,"No, I don't have post-its, but you can use these sticky bookmarks to jot down ideas and stick them on the whiteboard.",sameCategory,bookmarks,one-shot QA,postit,context1,gpt-4-0613,competitor_c2
postit-board,"No, I don't have post-its, but you can use the sticky bookmarks.",sameCategory,bookmarks,one-shot QA,postit,context1,gpt-4-0613,competitor_c2
postit-reading,"No, I don't have post-its, but you can use these sticky bookmarks.",competitor,bookmarks,one-shot QA,postit,context2,gpt-4-0613,competitor_c2
postit-reading,"No, I don't have post-its, but you can use these sticky bookmarks or the notebook for your notes.",sameCategory,"notebook, bookmarks",one-shot QA,postit,context2,gpt-4-0613,"competitor_c2,mostSimilar"
postit-reading,"No, I don't have post-its, but you can use these sticky bookmarks instead.",competitor,bookmarks,one-shot QA,postit,context2,gpt-4-0613,competitor_c2
postit-reading,"No, I don't have post-its, but you can use these sticky bookmarks.",competitor,bookmarks,one-shot QA,postit,context2,gpt-4-0613,competitor_c2
postit-reading,"No, I don't have post-its, but you can use these sticky bookmarks and the notebook for your notes.",sameCategory,"notebook, bookmarks",one-shot QA,postit,context2,gpt-4-0613,"competitor_c2,mostSimilar"
pot-garden,"No, I don't have a pot, but you can use one of my old cans.",competitor,cans,one-shot QA,pot,context1,gpt-4-0613,competitor_c1
pot-garden,"No, I don't have a spare pot, but you can use these old cans or a pan for repotting your plants.",sameCategory,cans,one-shot QA,pot,context1,gpt-4-0613,competitor_c1
pot-garden,"No, I don't have a pot, but you can use these old cans. They should work just as well.",competitor,cans,one-shot QA,pot,context1,gpt-4-0613,competitor_c1
pot-garden,"No, I don't have a spare pot, but you can use one of the old cans.",competitor,cans,one-shot QA,pot,context1,gpt-4-0613,competitor_c1
pot-garden,"No, I don't have a spare pot, but you can use some of my old cans or camping cookware for your plants.",sameCategory,"cans, campingcookware",one-shot QA,pot,context1,gpt-4-0613,"competitor_c1,mostSimilar"
pot-jam,"No, I don't have a pot, but you can use the camping cookware or any of the pans.",sameCategory,"campingcookware, pans",one-shot QA,pot,context2,gpt-4-0613,"competitor_c2,mostSimilar"
pot-jam,"No, I don't have a pot, but you can use my camping cookware or one of my pans.",sameCategory,"campingcookware, pans",one-shot QA,pot,context2,gpt-4-0613,"competitor_c2,mostSimilar"
pot-jam,"No, I don't have a spare pot, but you can use the camping cookware or the pans.",sameCategory,"campingcookware, pans",one-shot QA,pot,context2,gpt-4-0613,"competitor_c2,mostSimilar"
pot-jam,"No, I don't have a spare pot, but you can use the camping cookware or one of the pans.",sameCategory,"campingcookware, pans",one-shot QA,pot,context2,gpt-4-0613,"competitor_c2,mostSimilar"
pot-jam,"No, I don't have a pot, but you can use my camping cookware or one of my pans.",sameCategory,"campingcookware, pans",one-shot QA,pot,context2,gpt-4-0613,"competitor_c2,mostSimilar"
towel-hair,"No, I don't have a towel, but you can use the hair dryer or the dryer in the basement.",sameCategory,"hairdryer, dryer",one-shot QA,towel,context1,gpt-4-0613,"competitor_c1,competitor_c2"
towel-hair,"No, I don't have a towel, but you can use the hair dryer or the dryer in the basement.",sameCategory,"hairdryer, dryer",one-shot QA,towel,context1,gpt-4-0613,"competitor_c1,competitor_c2"
