itemName,predictions,category,prompt
friendsActivities-boardGames,"I'm sorry, I don't have Scrabble. But I do have Monopoly and checkers.",sameCategory,one-shot CoT
friendsActivities-boardGames,"I'm sorry, I don't have Scrabble. But I do have Monopoly and checkers if you'd like to play those.",sameCategory,one-shot CoT
friendsActivities-boardGames,"I'm sorry, I don't have any Scrabble. But I do have Monopoly and checkers if you'd like to play those.",sameCategory,one-shot CoT
friendsActivities-boardGames,"I'm sorry, I don't have Scrabble. But we do have a few board games, like Monopoly and checkers.",sameCategory,one-shot CoT
friendsActivities-videoEntertainment,"I'm sorry, I don't have Netflix. But I do have some movies and Xbox games we can watch and play!",sameCategory,one-shot CoT
friendsActivities-videoEntertainment,"I'm sorry, I don't have Netflix. But I do have some movies and Xbox games if you would like to watch or play something.",sameCategory,one-shot CoT
friendsActivities-videoEntertainment,"I'm sorry, I don't have Netflix. But I do have some movies and some great games to play.",sameCategory,one-shot CoT
friendsActivities-videoEntertainment,"I'm sorry, I don't have Netflix. But I do have some movies, Xbox games, and Monopoly.",fullList,one-shot CoT
friendsActivities-videoEntertainment,"I'm sorry, I don't have Netflix. But I do have some movies and Xbox games.",sameCategory,one-shot CoT
interior-green,"I'm sorry, I don't have an aloe vera plant. But I do have an agave plant.",competitor,one-shot CoT
interior-green,"I'm sorry, I don't have an aloe vera plant. But I do have an agave plant that would be perfect for your new apartment.",competitor,one-shot CoT
interior-green,"I'm sorry, I don't have any aloe vera plant. But I do have an agave plant if you'd like that.",competitor,one-shot CoT
interior-green,"I'm sorry, I don't have an aloe vera plant. But I do have an agave plant, which has a similar look.",competitor,one-shot CoT
interior-green,"I'm sorry, I don't have an aloe vera plant. But I do have an agave plant that would look great in your new apartment.",competitor,one-shot CoT
interior-deco,"I'm sorry, I don't have any watercolour paintings. But I do have an oil painting and some printed photographs that you could take.",sameCategory,one-shot CoT
interior-deco,"I'm sorry, I don't have any watercolour paintings. But I do have an oil painting and some printed photographs that would look great in any home.",sameCategory,one-shot CoT
interior-deco,"I'm sorry, I don't have any watercolour paintings. But I do have an oil painting and some printed photographs that you might like.",sameCategory,one-shot CoT
zoo-xl,"I'm sorry, I don't think there are any tigers here. But we can go and see the lion - it's the king of the zoo and sure to be an incredible sight!",competitor,one-shot CoT
zoo-xl,"I'm sorry, there isn't a tiger here. But we could go say hello to the lion if you'd like.",competitor,one-shot CoT
zoo-xl,"I'm sorry, I don't think there's any tiger here. But there is a lion and a giraffe, which would you like to see first?",sameCategory,one-shot CoT
zoo-reptiles,"I'm sorry, I don't have any chameleon here. But I do have some iguanas and turtles which are quite similar to chameleons.",sameCategory,one-shot CoT
zoo-reptiles,"I'm sorry, I don't have any chameleon. But I do have some iguanas.",competitor,one-shot CoT
zoo-reptiles,"I'm sorry, I don't have any chameleon. But I saw that the iguanas were really interesting and they have some awesome colors!",competitor,one-shot CoT
zoo-reptiles,"I'm sorry, I don't have any chameleons here. But we can go and see the iguanas, turtles and the lion.",fullList,one-shot CoT
cafe-pie,"I'm sorry, we don't have raspberry cake, but we do have raspberry pie! Would you like to try a slice?",competitor,zero-shot
cafe-pie,"No, I'm sorry we don't have raspberry cake. However, we do have raspberry pie if that would interest you.",competitor,zero-shot
cafe-pie,"No, we don't have raspberry cake, but we do have raspberry pie. Would you like to try that instead?",competitor,zero-shot
cafe-pie,"No, unfortunately we do not have raspberry cake, but we do have raspberry pie. Would that work for you?",competitor,zero-shot
cafe-pie,"No, I'm sorry we don't have raspberry cake. But we do have raspberry pie if that interests you.",competitor,zero-shot
cafe-pizza,"Yes, we do have veggie pizza. Would you like a slice of cheese pizza, pepperoni pizza, or raspberry pie?",fullList,zero-shot
cafe-pizza,"Unfortunately, we don't have any veggie pizzas right now, but we do have a delicious cheese pizza and a pepperoni pizza. Would either of those work for you?",sameCategory,zero-shot
cafe-pizza,"Yes, we do! We have cheese pizza that can be ordered without cheese for a vegan option.",competitor,zero-shot
bar-whiteWine,"I apologize, we don't carry Sauvignon Blanc at this particular bar. Would you like to try one of our Chardonnays, craft beers, or iced coffees?",fullList,zero-shot
bar-whiteWine,"I'm sorry, we don't serve Sauvignon Blanc here. We have Chardonnay and craft beer. We also serve iced coffee. Would you like something from any of those selections?",fullList,zero-shot
bar-whiteWine,"I'm sorry, we don't serve Sauvignon Blanc here. However, I can recommend either a glass of iced coffee or a craft beer, if that's something you might enjoy.",other,zero-shot
bar-whiteWine,"I'm sorry, we don't have Sauvignon Blanc. We do have an excellent selection of Chardonnay and craft beer. Would you like something from the bar?",sameCategory,zero-shot
bar-whiteWine,"I'm sorry, we don't have Sauvignon Blanc here. We only have Chardonnay, craft beer, and iced coffee. Is one of those drinks something you would like to try?",fullList,zero-shot
bar-tea,"Unfortunately, no. We don't have iced tea but we do have iced coffee, soda, and Chardonnay. Would any of those options suit you?",fullList,zero-shot
bar-tea,"Unfortunately, we do not serve iced tea here. Would you like to try one of our other refreshing beverages such as an iced coffee, a soda, or a glass of Chardonnay?",fullList,zero-shot
bar-tea,"Unfortunately, we do not serve iced tea, but we do have iced coffee and soda. Could I interest you in one of those?",sameCategory,zero-shot
bar-tea,"I'm sorry, we don't serve iced tea here. We have iced coffee, soda, and Chardonnay. Is there something else I can get for you?",fullList,zero-shot
bar-tea,"I'm sorry, we don't have iced tea. We have iced coffee, soda, and Chardonnay. Would any of those work for you?",fullList,zero-shot
touristInfo-childTheatre,"Unfortunately, there isn't a theatre performance for children today, but there are a few other events you might enjoy. The circus show is sure to be fun, and the club event has a hip hop DJ. The trade fair may also be of interest.",fullList,zero-shot
touristInfo-childTheatre,"Unfortunately, there isn't a theatre performance specifically for children happening today, however, the circus show is entertaining for all ages and it might be of interest to your child. The trade faire also has a few art installations and activities that could be fun for your child. Lastly, the club event with the hip hop",fullList,zero-shot
touristInfo-childTheatre,"I'm sorry, no, there isn't a theatre performance specifically for children today. However, the circus show and trade fair might be of interest to children, and the club event is sure to have something for everyone.",other,zero-shot
touristInfo-childTheatre,"No, unfortunately there isn't a theatre performance for children today. However, I do have some great alternatives for children to enjoy! We have a circus show with juggling, acrobatics, and more, a trade fare filled with toys, books, and fun activities, and a club event with a hip",fullList,zero-shot
touristInfo-childTheatre,"Unfortunately not, but there is a circus show, a trade fair, and a club event with a hip hop DJ. Depending on your child's age, they may enjoy one or more of these events.",fullList,zero-shot
touristInfo-clubbing,"Yes, there is a club event with a hip hop DJ at 8 PM today. It should be a great night of upbeat music.",competitor,zero-shot
touristInfo-clubbing,"Yes, there is a club event with a hip hop DJ today.",competitor,zero-shot
touristInfo-clubbing,"No, but we do have a club event with a hip hop DJ, live jazz music, and a circus show today.",fullList,zero-shot
touristInfo-clubbing,"No, there isn't an electronic music event happening today, however, there is a hip-hop DJ playing at a club event, live jazz music, and a circus show going on.",fullList,zero-shot
touristInfo-clubbing,"Yes, there is a club event with a hip hop DJ today.",competitor,zero-shot
bookingAgency-lowClassAccommodation,"I'm sorry, but the youth hostel doesn't have any available beds for tomorrow night. However, we do still have rooms available in a cheap bed-and-breakfast, a room in a budget hotel, or a suite in a four-star hotel. Which one interests you the most?",fullList,zero-shot
bookingAgency-lowClassAccommodation,"I'm sorry, the youth hostel is completely booked up for tomorrow night. However, I do have a room in a cheap bed-and-breakfast, a room in a budget hotel and a suite in a four-star hotel still available for tomorrow night. Which of those options would you like",fullList,zero-shot
bookingAgency-lowClassAccommodation,"I'm sorry, the local youth hostel is completely booked for tomorrow night. However, I do have a room in a cheap bed-and-breakfast, a room in a budget hotel, and a suite in a four-star hotel still available for tomorrow night. Would any of those options work for",fullList,zero-shot
bookingAgency-lowClassAccommodation,"I'm sorry, the youth hostel is completely booked for tomorrow night. However, I do have some availability for other types of accommodations in the area, including a room in a cheap bed and breakfast, a room in a budget hotel, and a suite in a four-star hotel. Which would you prefer",fullList,zero-shot
bookingAgency-highClassAccommodation,"I'm sorry, sir, I'm afraid we don't have any availability in a five-star hotel for tomorrow night. However, we do have a suite in a four-star hotel, an expensive apartment close to the city, and a room in a cheap bed-and-breakfast available. Would",fullList,zero-shot
bookingAgency-highClassAccommodation,"I'm sorry, sir, but we don't have any five-star hotels nearby. However, we do have a suite in a four-star hotel still available for tomorrow night, or we have an expensive apartment close to the city, as well as a room in a cheap bed-and-breakfast",fullList,zero-shot
bookingAgency-highClassAccommodation,"I'm sorry, we don't have any single rooms in five-star hotels for tomorrow night. However, we do have a suite in a four-star hotel, an expensive apartment close to the city, or a room in a bed-and-breakfast. Which would you like to book?",fullList,zero-shot
bookingAgency-highClassAccommodation,"Unfortunately, no. The only accommodation options available for tomorrow night are a suite in a four-star hotel, an expensive apartment close to the city, and a room in a cheap bed-and-breakfast. Would any of these be a satisfactory option?",fullList,zero-shot
bookingAgency-highClassAccommodation,"I'm sorry, but we don't have any single rooms in a five-star hotel available for tomorrow night. However, we do have a suite in a four-star hotel, an expensive apartment close to the city, and a room in a cheap bed-and-breakfast available for tomorrow night.",fullList,zero-shot
waterSport-motor,"No, we don't rent jet skis. However, we do have water ski equipment, rubber dinghies, and kayaks available for rent. Would you like more information about any of these items?",fullList,zero-shot
waterSport-motor,"We do not rent jet skis, but we do offer water ski equipment, rubber dinghies, and kayaks. We have plenty of options for your water-sports needs.",fullList,zero-shot
waterSport-muscle,"We do not rent canoes, however, we do offer kayaks, pedal boats, and water ski equipment.",fullList,zero-shot
dutyFree-smokes,"No, I'm sorry, we do not offer cigars. We have cigarettes, gin, and gingerbread instead.",fullList,zero-shot
dutyFree-smokes,"No, I'm sorry we don't. We have cigarettes, gin, and gingerbread for sale.",fullList,zero-shot
dutyFree-smokes,"No, I'm sorry, we don't sell cigars. We do have cigarettes and other duty-free items such as gin and gingerbread.",fullList,zero-shot
dutyFree-smokes,"No, I'm sorry, I don't sell cigars. We have cigarettes, gin, and gingerbread available.",fullList,zero-shot
dutyFree-smokes,"No, I'm sorry, we only sell cigarettes, gin, and gingerbread.",fullList,zero-shot
dutyFree-sweets,"No, I'm sorry, we don't sell cookies. We have gingerbread, granola bars, and cigarettes available.",fullList,zero-shot
dutyFree-sweets,"No, unfortunately we don't have cookies available. However, we do have gingerbread, granola bars, and cigarettes. Would any of those be of interest?",fullList,zero-shot
dutyFree-sweets,"No, I'm sorry, I don't sell cookies. However, we do have some delicious gingerbread available for purchase.",competitor,zero-shot
dutyFree-sweets,"No, I'm sorry, we don't sell cookies. We do have gingerbread, granola bars, and cigarettes for sale.",fullList,zero-shot
dutyFree-sweets,"No, I'm sorry we don't have cookies, but we do have delicious gingerbread and granola bars!",sameCategory,zero-shot
clothing-clothes,"No, I'm sorry we don't have any Hawaiian shirts in stock right now. However, we do have a great selection of shorts, sweatshirts, and necklaces. Would you like to take a look?",fullList,zero-shot
clothing-clothes,"No, I'm sorry, we don't have any Hawaiian shirts in stock right now. Is there anything else we can help you find? We have a great selection of shorts, sweatshirts, and necklaces.",fullList,zero-shot
clothing-clothes,"No, I'm sorry, but we don't have any Hawaiian shirts in stock right now. However, we do have a wide selection of shorts, sweatshirts, and necklaces that might be of interest to you. Let me know if there's anything else I can help you with.",fullList,zero-shot
clothing-clothes,"Unfortunately, we don't have any Hawaiian shirts in stock at the moment. However, we have a wide selection of shorts, sweatshirts, and necklaces that would look perfect with a Hawaiian shirt. Would you like to take a look?",fullList,zero-shot
clothing-clothes,"No, we don't have any Hawaiian shirts in stock right now. However, we do have a great selection of shorts, sweatshirts, and necklaces.",fullList,zero-shot
clothing-acc,"Unfortunately, we don't carry earrings at the moment. For accessories, we have necklaces, sunglasses, and other items. Please let us know if there's anything else we can help you with.",sameCategory,zero-shot
clothing-acc,"Unfortunately we don't have any earrings in stock right now. However, we do have a selection of necklaces and sunglasses that may interest you.",sameCategory,zero-shot
clothing-acc,"No, I'm sorry. We don't carry earrings. We have necklaces, sunglasses, and shorts. However, I'm sure we can point you in the right direction to find just what you're looking for!",fullList,zero-shot
clothing-acc,"No, I'm sorry, we don't carry earrings at this store. However, we have a variety of necklaces, sunglasses, and shorts. Would you like to take a look?",fullList,zero-shot
clothing-acc,"No, I'm sorry, we don't have any earrings in stock. However, we have a great selection of necklaces and sunglasses. Would you like to take a look at those?",sameCategory,zero-shot
petAdoption-dogs,"No, unfortunately we do not have any Dalmatians right now, but we do have some wonderful golden retrievers, chihuahuas, and gerbils for adoption. Would you like to meet them?",fullList,zero-shot
petAdoption-dogs,"No, unfortunately we don't have any Dalmatians at the moment. We do have some lovely golden retrievers, chihuahuas, and gerbils if you're interested.",fullList,zero-shot
petAdoption-dogs,"No, we don't have any Dalmatians at the moment, but we do have other wonderful breeds of dogs like golden retrievers and chihuahuas that may be suitable for your family. We also have gerbils if you're looking for a small pet.",fullList,zero-shot
petAdoption-dogs,"No, we don't currently have any Dalmatians. However, we have plenty of other wonderful animals that you can choose from, like our golden retrievers, chihuahuas, and gerbils.",fullList,zero-shot
petAdoption-dogs,"No, we don't currently have any Dalmatians available for adoption today. However, we do have some wonderful golden retrievers, chihuahuas, and gerbils that are all in need of loving homes. Would you be interested in taking a look at them?",fullList,zero-shot
petAdoption-hamster,"No, we don't have any hamsters at the moment, but we do have gerbils, ferrets, and golden retrievers. All of our animals are rescues, so if you're interested we can keep an eye out for any hamsters that may come in. Would you like to",fullList,zero-shot
petAdoption-hamster,"No, we don't have any hamsters available at the moment, but we do have gerbils and ferrets that may make great pets.",sameCategory,zero-shot
petAdoption-hamster,"No, we don't have any hamsters at the moment, but if you're open to adopting another type of small animal, we have several gerbils and ferrets that are looking for loving homes.",sameCategory,zero-shot
petAdoption-hamster,"No, unfortunately we don't currently have any hamsters at the moment, but we do have gerbils, ferrets, and golden retrievers. Would any of those fit your needs?",fullList,zero-shot
petAdoption-hamster,"No, we don't have any hamsters at the moment, but we do have gerbils and ferrets. Would either of those work for you?",sameCategory,zero-shot
books-romance,"Yes, we do! We have a few books of French love letters that include romantic love poems. Would you like me to take you to that section?",competitor,zero-shot
books-romance,"Yes, we do! We currently have a collection of French love letters - though it's all written in French, the sentiment is still just as beautiful. If you're looking for something more modern, we also have a selection of love poems written by various poets.",competitor,zero-shot
books-romance,"Yes, we do! We have a few books of French love letters which contain many beautiful love poems. Would you like to take a look?",competitor,zero-shot
books-romance,Yes we do! We have a fantastic selection of French love letters that includes some delightful poetry. Would you like to take a look?,competitor,zero-shot
electronics-laptop,"Unfortunately, we don't have any MacBook Pros in stock right now, but we do have a MacBook Air that may fit your needs.",competitor,zero-shot
electronics-laptop,"No, we don't have a MacBook Pro, but we do have a MacBook Air. It has a similar design, is a bit smaller, and is a little bit less powerful than the Pro. Would you like to take a look at it?",competitor,zero-shot
electronics-laptop,"We don't have a MacBook Pro in stock right now, but we can definitely try to track one down for you. Do you have any other preferences or requirements you're looking for in a laptop?",other,zero-shot
electronics-laptop,"No, I'm sorry, we currently don't have a MacBook Pro in stock. However, we do have the MacBook Air which is similar and offers similar features.",competitor,zero-shot
electronics-laptop,"No, I'm sorry, we don't have any MacBook Pros at the moment. However, we do have a MacBook Air, a desktop computer, and an Xbox.",fullList,zero-shot
electronics-console,"No, I'm sorry, we don't have a PlayStation. However, we have an Xbox and a Gameboy.",sameCategory,zero-shot
electronics-console,"I'm sorry, we don't have a PlayStation at the moment. We do have an Xbox and a Gameboy, though.",sameCategory,zero-shot
electronics-console,"I'm sorry, we only have Xbox, Gameboy, and MacBook Air right now. If what you're looking for isn't here, you could check our affiliates next door or online.",fullList,zero-shot
electronics-console,"I'm sorry, we don't have any PlayStations in the store currently. However, we do have an Xbox and a Gameboy, if those might interest you.",sameCategory,zero-shot
electronics-console,"No, I'm sorry, we don't currently have a PlayStation. However, we do have an Xbox and a Gameboy.",sameCategory,zero-shot
gym-yoga,"No, we don't currently offer yoga classes, however we do offer pilates, zumba, and kickboxing classes. Would you like to try any of these?",fullList,zero-shot
gym-yoga,"No, we don't currently offer yoga classes, but we do offer pilates, zumba, and kickboxing classes. Would you be interested in any of those classes?",fullList,zero-shot
gym-yoga,"No, we don't offer yoga classes currently, but we do have pilates, zumba, and kickboxing classes. Can I help you find something that fits your needs?",fullList,zero-shot
gym-yoga,"No, unfortunately we do not offer yoga classes currently. We do have Pilates, Zumba, and Kickboxing though.",fullList,zero-shot
gym-yoga,"No, we do not offer yoga classes at the moment, but we have pilates, zumba, and kickboxing classes available if you're interested.",fullList,zero-shot
gym-boxing,"No, we don't offer boxing classes, but we have kickboxing, karate, and pilates classes that all involve boxing-like movements. Would you be interested in signing up for one of those?",fullList,zero-shot
gym-boxing,"No, we don't offer boxing classes, but we do offer kickboxing classes, karate classes, and pilates. Would any of those work for you?",fullList,zero-shot
gym-boxing,"No sorry, we don't offer boxing classes but we do offer kickboxing classes, karate classes and pilates. If you're looking for a boxing class, there are other gyms in the area that may offer boxing.",fullList,zero-shot
gym-boxing,"Yes, we do offer boxing classes, however they are called kickboxing classes. We also offer karate classes and pilates classes.",fullList,zero-shot
kidsActivities-crafts,"No, unfortunately there is no pottery class available this summer. You can sign up for the watercolor painting class, the carpentry workshop, or the acrobatics class.",fullList,zero-shot
kidsActivities-crafts,"No, there is no pottery class offered. However, we do have a watercolor painting class, a carpentry workshop, and an acrobatics class that you can sign up for.",fullList,zero-shot
kidsActivities-crafts,"Unfortunately, no. We don't offer a pottery class, but we do have a watercolor painting class, a carpentry workshop, and an acrobatics class. Which one would you like to sign up for?",fullList,zero-shot
kidsActivities-crafts,"No, unfortunately we do not offer pottery, but we do have a watercolor painting class, a carpentry workshop, and an acrobatics class. Would you be interested in any of these activities?",fullList,zero-shot
kidsActivities-crafts,"Unfortunately, we don't have a pottery class this summer. Would you like to try the watercolor painting or the carpentry workshop?",sameCategory,zero-shot
kidsActivities-sports,"No, I'm sorry, we don't have a gymnastics class. We do have an acrobatics class, though. Would you like to sign up for that?",competitor,zero-shot
kidsActivities-sports,"No, we don't offer gymnastics here, but we do offer an acrobatics class that involves some of the same skills! Would you like to sign up for that?",competitor,zero-shot
kidsActivities-sports,"No, there is not a gymnastics class. However, we do offer an acrobatics class. It's very similar to gymnastics and it focuses on tumbling and skills like handstands and cartwheels. Would you like to sign up?",competitor,zero-shot
kidsActivities-sports,"No, there is not a gymnastics class available. We do offer an acrobatics class, a karate class, and a watercolor painting class.",fullList,zero-shot
kidsActivities-sports,"No, we don't offer a gymnastics class, but we do have an acrobatics class that many of our campers enjoy. Would you like to sign up for it?",competitor,zero-shot
friendsActivities-boardGames,"No, unfortunately I don't have Scrabble, but we can have a lot of fun with the other games, or we can watch some movies instead.",other,zero-shot
friendsActivities-boardGames,"No, unfortunately I don't have Scrabble. But we do have Monopoly, checkers, and some movies to watch!",fullList,zero-shot
friendsActivities-boardGames,"I'm sorry, I didn't think of that one! But we do have Monopoly, checkers, and some movies if you'd like to play those.",fullList,zero-shot
friendsActivities-boardGames,"No, I'm sorry, I don't have Scrabble. But I do have Monopoly, checkers, and some movies to watch!",fullList,zero-shot
friendsActivities-boardGames,"No, I'm sorry, I don't have Scrabble. But I do have Monopoly and checkers to play. We could also watch some movies if you'd like.",fullList,zero-shot
interior-green,"No, I don't have an aloe vera plant, but I can craft some lovely homemade flower pots and paper lanterns that would brighten up a room.",other,zero-shot
interior-green,"Unfortunately no, I don't have an aloe vera plant. However, I'm happy to make you something special as a housewarming gift. Would you like a handmade macrame wall hanging, a potted succulent, or a set of colorful block prints?",other,zero-shot
interior-green,"No, sorry, I don't have an aloe vera plant. But I could craft some lovely flower arrangements or paintings that could work nicely in her apartment!",other,zero-shot
interior-green,"No, I don't have an aloe vera plant, but I could give you some of my tulips. They would look great in your new place!",sameCategory,zero-shot
interior-green,"No, I don't have an aloe vera plant, but I do have a cactus I could give you. Would that work?",other,zero-shot
interior-deco,"No, I don't have any watercolour paintings, but I do have an oil painting and some printed photographs. If you're looking for something to craft yourself, I could help you make a decoration out of paper or fabric. I also have an agave plant you could take home.",fullList,zero-shot
interior-deco,"No, unfortunately I don't have any watercolour paintings. However, I could paint one for you if you'd like! I could also create a craft for you, or you could take the agave plant I have here.",otherCategory,zero-shot
interior-deco,"No, I don't have watercolour paintings, but I could make one for you if you'd like! I have lots of art supplies in my craft room and I'm sure I could come up with something you would like.",other,zero-shot
interior-deco,"No, I don't have any watercolour paintings right now, but I could make you something special in that medium if you'd like!",other,zero-shot
interior-deco,"No, I don't have any watercolour paintings. But I have some other art and decorations that you might be interested in, like my oil painting, printed photographs, and agave plant. I'd be happy to help you pick something out and craft something special just for you.",fullList,zero-shot
zoo-xl,"""Unfortunately, the zoo doesn't have tigers, but we can go see the lions and giraffes!""",sameCategory,zero-shot
zoo-xl,"""Unfortunately, the zoo doesn't have a tiger, but we can see lots of other interesting animals like the lion and giraffe!""",sameCategory,zero-shot
zoo-xl,"No, the zoo doesn't have a tiger, but it does have a lion which is a similar animal! Would you like to see the lion first?",competitor,zero-shot
zoo-xl,"No, unfortunately they don't have tigers at this zoo. But we can still see plenty of other amazing animals, like the lions, giraffes, and iguanas. Let's go check those out first.",fullList,zero-shot
zoo-reptiles,"Unfortunately, the zoo doesn't have chameleons, but they do have other lizards and snakes that we can check out. Would you like to do that instead?",other,zero-shot
zoo-reptiles,"No, I'm sorry, there isn't a chameleon at this zoo. However, I'm sure there are some fun and exciting animals we can see, like the iguanas, turtles, and lions!",fullList,zero-shot
zoo-reptiles,"Unfortunately, the zoo does not have chameleons, but maybe another time we can find a place that does. Let's see what other interesting animals the zoo has for us to explore!",other,zero-shot
zoo-reptiles,"No, I'm sorry but there are no chameleons at the zoo. But let's go see the iguanas and turtles, they look really interesting!",sameCategory,zero-shot
zoo-reptiles,"No, we can't see a chameleon today. But we can see the iguanas, the turtles, and the lion! Those are all really cool animals!",fullList,zero-shot
cafe-pie,"No, unfortunately we do not have raspberry cake. However, we do have raspberry pie which is similar. Would you like to try that?",competitor,one-shot Explanation
cafe-pie,"No, unfortunately we don't have raspberry cake today. We have raspberry pie, which is similar, and it is delicious! Would you like to try a slice?",competitor,one-shot Explanation
cafe-pie,"No, we don't have raspberry cake. We do have raspberry pie though. It has a rich, flaky crust and its filling is made with raspberries. Would you like to try it?",competitor,one-shot Explanation
cafe-pizza,"Unfortunately we do not have veggie pizza today. However, we do have a cheese pizza and a pepperoni pizza that can be made vegetarian upon request.",sameCategory,one-shot Explanation
cafe-pizza,"No, unfortunately we don't have veggie pizza today, but we do have cheese pizza which is vegetarian, as well as raspberry pie. Is either of those options satisfactory for you?",other,one-shot Explanation
cafe-pizza,"I'm sorry, we don't have veggie pizza, but we do have cheese pizza, pepperoni pizza, and raspberry pie. All the pizzas are vegetarian if you don't want to have the pepperoni. Would one of those work?",fullList,one-shot Explanation
cafe-pizza,"No, unfortunately we don't have veggie pizza today. We have cheese pizza and pepperoni pizza. Would either of those work for you? If you are looking for something else, we also have a raspberry pie.",fullList,one-shot Explanation
cafe-pizza,"Unfortunately we don't have veggie pizza, however, we have cheese pizza which does not have any meat toppings.",competitor,one-shot Explanation
bar-whiteWine,"I'm sorry, we don't have Sauvignon Blanc at the moment. We do have Chardonnay, which is a type of white wine, as well as craft beer and iced coffee. Is there anything else I can get for you?",fullList,one-shot Explanation
bar-whiteWine,"Sorry, we do not serve Sauvignon Blanc. However, we do have Chardonnay. It is a dry white wine, much like Sauvignon Blanc. I'm sure you'll love it. Can I get you a glass?",competitor,one-shot Explanation
bar-whiteWine,"I'm sorry, we don't serve Sauvignon Blanc. However, we do have Chardonnay, which is a similar white wine. Is that something you'd be interested in?",competitor,one-shot Explanation
bar-whiteWine,"I'm sorry, we don't have Sauvignon Blanc. We do have a Chardonnay, which is a white wine, and a range of craft beers, which could be a refreshing alternative to wine. We also have iced coffee which might help you unwind.",fullList,one-shot Explanation
bar-tea,"No, sorry. We don't serve iced tea. We do have iced coffee, soda, and Chardonnay though. Is one of those something you'd like?",fullList,one-shot Explanation
bar-tea,"Unfortunately, we don't serve iced tea. We do have iced coffee, soda, and Chardonnay. Would any of those be of interest to you?",fullList,one-shot Explanation
touristInfo-childTheatre,"Sorry, no, there isn't a theatre performance for children today. However, we do have a circus show, a trade fare, and a club event with a hip hop DJ, which may be interesting. All the events are suitable for children too.",fullList,one-shot Explanation
touristInfo-childTheatre,"I'm sorry, we don't have a theatre performance happening today. However, we do have a circus show that might be suitable for children. It features clowns, acrobats and other displays of skill that are sure to amuse them.",competitor,one-shot Explanation
touristInfo-childTheatre,"Unfortunately, no, there are no theatre performances for children today. However, we have a circus show, a trade fair, and a club event with a hip hop DJ that might be of interest.",fullList,one-shot Explanation
touristInfo-clubbing,"Unfortunately not. We do have a club event with a hip hop DJ, live jazz music, and a circus show. Would any of those interest you?",fullList,one-shot Explanation
touristInfo-clubbing,"Unfortunately, we don't have any electronic music events happening today. We do have a club event with a hip hop DJ, live jazz music, and a circus show.",fullList,one-shot Explanation
bookingAgency-lowClassAccommodation,"I'm sorry, we don't have a youth hostel listed here. However, if you'd like a more budget accommodation, we have a room in a cheap bed-and-breakfast and a room in a budget hotel still available for tomorrow night. If comfort is a priority for you and you",sameCategory,one-shot Explanation
bookingAgency-lowClassAccommodation,"Unfortunately, the youth hostel is fully booked. However, I can see that a room in the budget hotel and a suite in the four-star hotel are still available. Would either of those work for you?",other,one-shot Explanation
bookingAgency-highClassAccommodation,"Unfortunately, no single rooms in a five-star hotel are available for tomorrow night. However, I do have a suite in a four-star hotel, an expensive apartment close to the city, and a room in a cheap bed-and-breakfast. Would any of these options work for you?",fullList,one-shot Explanation
bookingAgency-highClassAccommodation,"I'm sorry, but we don't have a single room in a five-star hotel available for tomorrow night. However, we do have a suite in a four-star hotel, an expensive apartment close to the city, or a room in a cheap bed-and-breakfast available for tomorrow night",fullList,one-shot Explanation
bookingAgency-highClassAccommodation,"Unfortunately, no, we don't have a single room available in a five-star hotel for tomorrow night. However, we do have a suite in a four-star hotel, an expensive apartment close to the city, and a room in a cheap bed-and-breakfast. We are sure one",fullList,one-shot Explanation
bookingAgency-highClassAccommodation,"Unfortunately, we do not have a single room in a five-star hotel available for tomorrow night. However, we do have a suite in a four-star hotel, an expensive apartment close to the city, and a room in a cheap bed-and-breakfast still available. Would any of these",fullList,one-shot Explanation
waterSport-motor,"Unfortunately, we do not have jet skis available for rent, though we do have water ski equipment and kayaks that might be of interest. Would you like to hear more about these items?",other,one-shot Explanation
waterSport-motor,"Unfortunately, we do not rent jet skis. However, we do have a number of different water sports activities that you and your party can enjoy. We can provide you with water ski equipment, rubber dinghies and kayaks. Would any of these interest you?",fullList,one-shot Explanation
waterSport-motor,"Unfortunately, we don't rent jet skis at this time. We do offer water ski equipment, rubber dinghies, and kayaks, however.",fullList,one-shot Explanation
waterSport-muscle,"Unfortunately, we do not offer canoes, but we have kayaks, pedal boats, and water ski equipment available for rent.",fullList,one-shot Explanation
dutyFree-smokes,"No, unfortunately I don't have any cigars to offer. However, I do have cigarettes, gin and gingerbread if you're interested.",fullList,one-shot Explanation
dutyFree-smokes,"Unfortunately, no. We only have cigarettes. Would you like to purchase them?",competitor,one-shot Explanation
dutyFree-smokes,"No, I'm sorry, we don't sell cigars. However, we do have cigarettes which may suit your needs.",competitor,one-shot Explanation
dutyFree-smokes,"No, I'm sorry, we don't have cigars. We have cigarettes, gin, and gingerbread on offer.",fullList,one-shot Explanation
dutyFree-smokes,"No, unfortunately we don't have cigars, but we do have cigarettes if you're looking for a similar product.",competitor,one-shot Explanation
dutyFree-sweets,"No, I don't sell cookies, but I do have gingerbread and granola bars which are a tasty snack option.",sameCategory,one-shot Explanation
dutyFree-sweets,Let's think step by step. You reason about what that person most likely wanted to have. That they asked for cookies suggests that they might want a sweet snack. From the items you have cigarettes are the least likely to satisfy the persons desires. Gingerbread and granola bars come much closer. Gingerbread,sameCategory,one-shot Explanation
