itemName,predictions,probs,category,response_option,prompt,settingName,context_nr
umbrella-summer,"I'm sorry but I don't have an umbrella, but I do have some sunscreen you can use. You could also try using the bike cover, the rain jacket, or setting up the tent to provide some shade.",-0.571792295421702,fullList,"bike cover, rain jacket, sunscreen, tent",one-shot Explanation,umbrella,context1
umbrella-summer,"I donbytes:\xe2\x80bytes:\x99t have an umbrella, but I do have sunscreen and plastic bike cover that you could use to cover yourself from the sun. The plastic bike cover is likely to be the most effective out of the list of items.",-0.861951429843319,sameCategory,"bike cover, sunscreen",one-shot Explanation,umbrella,context1
umbrella-summer,"Yes, I don't have an umbrella, but I do have sunscreen, a plastic bike cover, a rain jacket, and a tent in the storage closet in the house that you're welcome to use. Which one would you like?",-0.46775764996896,fullList,"bike cover, rain jacket, sunscreen, tent",one-shot Explanation,umbrella,context1
umbrella-summer,"Unfortunately, no, we don't have any umbrellas, but we do have plenty of sunscreen for you, or if you wanted some shade, we do have a plastic bike cover and a rain jacket you could use, or I could set up the tent for you in the garden for some extra protection from the sun",-1.04809751495344,fullList,"bike cover, rain jacket, sunscreen, tent",one-shot Explanation,umbrella,context1
umbrella-summer,"I'm sorry, I don't actually have an umbrella available. However, the sun can be quite strong during the day and I do have sunscreen and a rain jacket that you can use. There's also a plastic bike cover and a tent in the storage closet in the house that may provide some shade.",-0.817714399903125,fullList,"bike cover, rain jacket, sunscreen, tent",one-shot Explanation,umbrella,context1
umbrella-rain,"I don't have an umbrella, but I do have a rain jacket you can use if you don't mind getting wet.",-0.5094152584088,competitor,rain jacket,one-shot Explanation,umbrella,context2
umbrella-rain,"No, I don't have an umbrella, but I do have a rain jacket, a plastic bike cover, and sunscreen if one of you wants to borrow one of those. We also have a tent if you need somewhere to wait out this rain.",-0.9045442618684,fullList,"bike cover, rain jacket, sunscreen, tent",one-shot Explanation,umbrella,context2
umbrella-rain,"I don't have an umbrella, but you can borrow my rain jacket to help stay dry and I have a plastic bike cover you can use as a makeshift umbrella if you need it.",-0.747703790543784,sameCategory,"bike cover, rain jacket",one-shot Explanation,umbrella,context2
umbrella-rain,"No, I don't have an umbrella, but I have a rain jacket, a plastic bike cover, sunscreen and a tent that could help keep you dry in the rain.",-0.591454662622743,fullList,"bike cover, rain jacket, sunscreen, tent",one-shot Explanation,umbrella,context2
umbrella-rain,"Unfortunately, I do not have an umbrella but I do have a rain jacket. That might help keep you dry until you can get to your car.",-0.610707732095,competitor,rain jacket,one-shot Explanation,umbrella,context2
postit-board,"""I don't have post-its but I do have a whiteboard marker, a notebook, and sticky bookmarks, which might be useful for collecting and organizing your ideas. I also have an eraser if you need it.""",-0.620461500342915,fullList,"marker, notebook, bookmarks, eraser",one-shot Explanation,postit,context1
postit-board,"""I don't have post-its, but what about using one of the sticky bookmarks? That way, you can mark and save your ideas.""",-1.07941508825161,sameCategory,bookmarks,one-shot Explanation,postit,context1
postit-board,"""I don't have post-its, but we do have a whiteboard marker, a notebook, sticky bookmarks, and an eraser you're welcome to use. How can I help you get started?""",-0.586350926366047,fullList,"marker, notebook, bookmarks, eraser",one-shot Explanation,postit,context1
postit-board,"Yes, I do have something you can use. I have a whiteboard marker, a notebook, sticky bookmarks, and an eraser; these should all be helpful for the exercise.",-0.84361045631629,fullList,"marker, notebook, bookmarks, eraser",one-shot Explanation,postit,context1
postit-board,"Unfortunately, I don't have post-its. But a whiteboard marker or sticky bookmarks would be great for collecting ideas.",-1.00751984708077,sameCategory,"marker, bookmarks",one-shot Explanation,postit,context1
postit-reading,"""No, unfortunately I don't have post-its, but I have some sticky bookmarks that you can use until we can find a post-it.""",-0.990762927740625,competitor,bookmarks,one-shot Explanation,postit,context2
postit-reading,"I don't have any post-its, but I do have a notebook and something you can use to mark the documents you're reading. Would you like to use the sticky bookmarks, or a whiteboard marker and eraser?",-0.7739649262586,fullList,"marker, notebook, bookmarks, eraser",one-shot Explanation,postit,context2
postit-reading,"No, I don't have any post-its, but I have a notebook that you can take notes in.",-0.617120636013044,mostSimilar,notebook,one-shot Explanation,postit,context2
postit-reading,"""Actually, I don't have any post-its, but if you want to take notes, you can use one of the sticky bookmarks or the notebook I have here. You can also use the whiteboard marker if you want to jot things down on the whiteboard.""",-0.632186421901877,sameCategory,"marker, notebook, bookmarks",one-shot Explanation,postit,context2
postit-reading,"""I don't have post-its, but the notebook should help you with note taking. You can use the sticky bookmarks to mark important pages and the whiteboard marker for any important notes you want to jot down.""",-0.852036183101522,sameCategory,"marker, notebook, bookmarks",one-shot Explanation,postit,context2
pot-garden,"Yes, I do have a pot. I can't provide you an actual pot, but I have several pans and camping cookware which you could use. The cans would also work if you need something a bit bigger. You could even upcycle the ceramic plates.",-1.1139760649475,fullList,"cans, camping cookware, pans, ceramic plates",one-shot Explanation,pot,context1
pot-garden,"I'm sorry, I don't have a pot, but would any of these items work for you? I have old cans, pans, camping cookware, and ceramic plates that might do the job.",-0.49739253499522706,fullList,"cans, camping cookware, pans, ceramic plates",one-shot Explanation,pot,context1
pot-garden,"No, I don't have a pot, but I do have cans you could use as pots for your plants. They're not specifically for gardening, but it could work as a short-term solution. I also have some pans and camping cookware that might fit the bill, too. You could even",-0.975524471184219,sameCategory,"cans, camping cookware, pans",one-shot Explanation,pot,context1
pot-garden,"I'm sorry, I don't have any pots, but I do have old cans, pans, camping cookware, and ceramic plates that you might be able to use for your repotting and splitting. Would any of those work?",-0.394650986853078,fullList,"cans, camping cookware, pans, ceramic plates",one-shot Explanation,pot,context1
pot-garden,"I don't have any pots, but I have some of these old cans that could work. Let me grab them for you.",-0.812153320470385,competitor,cans,one-shot Explanation,pot,context1
pot-jam,"I'm sorry I don't have any pots, but why don't you try using some of the pans I have in my basement? They should be big enough to cook a batch of apples at a time.",-0.711202512934222,competitor,pans,one-shot Explanation,pot,context2
pot-jam,"Unfortunately, I don't have a pot, but I do have several pans and camping cookware you can use. I also have some old cans and a couple of ceramic plates that could work.",-0.580306495486905,fullList,"cans, camping cookware, pans, ceramic plates",one-shot Explanation,pot,context2
pot-jam,"I'm afraid I don't have any pots, but please take a look at the pans, camping cookware, old cans, and ceramic plates I have in my basement. Perhaps one of those would do the trick!",-0.694299365733617,fullList,"cans, camping cookware, pans, ceramic plates",one-shot Explanation,pot,context2
pot-jam,"I don't have any pots, however, I have a few pans that would be suitable for the job.",-0.931928301,competitor,pans,one-shot Explanation,pot,context2
pot-jam,"I don't have a pot, but I do have a few pans that you can borrow.",-0.61543300191579,competitor,pans,one-shot Explanation,pot,context2
towel-hair,"I don't have a towel, but if you need to dry your hair, the hair dryer would be the most useful item from the list.",-0.6091839569935,competitor,hairdryer,one-shot Explanation,towel,context1
towel-hair,"I'm sorry, I don't have an extra towel but I do have a hair dryer. If you prefer, I can also lend you a paper towel and the dryer in the basement is available for use. I can also lend you a blanket to get you through the evening.",-0.892802210910431,fullList,"paper towels, hairdryer, dryer, blanket",one-shot Explanation,towel,context1
towel-hair,"""Yes, I can help you dry your hair! I have a hair dryer and you can use paper towels to soak up the excess moisture.""",-0.978169714517167,sameCategory,"paper towels, hairdryer",one-shot Explanation,towel,context1
towel-hair,"While I don't have a spare towel, I do have a hair dryer if any of you would like to use it. I also have some paper towels that could be used temporarily, or you can go down to the basement to use the dryer. In addition, I have a blanket you can use if you",-0.824688977330531,fullList,"paper towels, hairdryer, dryer, blanket",one-shot Explanation,towel,context1
towel-hair,"I'm sorry, I don't have a towel, but I do have a hairdryer and some paper towels that you can use. Additionally, there is a dryer in the basement and a blanket that you can use to cover your head while you dry your hair.",-0.474626396015482,fullList,"paper towels, hairdryer, dryer, blanket",one-shot Explanation,towel,context1
towel-clothes,"Actually, I think the best solution would be to use the hair dryer. That way, your costumes can dry very quickly and you'll be ready to join the party.",-1.16353695519429,sameCategory,hairdryer,one-shot Explanation,towel,context2
towel-clothes,"I don't have any extra towels, but I do have a hair dryer that could help dry your costumes. I also have a blanket and paper towels which you can use to gently pat them down and absorb any extra moisture.",-1.04766207810491,other,"paper towels, hairdryer, blanket",one-shot Explanation,towel,context2
towel-clothes,"I don't have any spare towels, but I do have a dryer in the basement, paper towels, a hair dryer and a blanket that can be used to dry the costumes.",-0.46413975640071103,fullList,"paper towels, hairdryer, dryer, blanket",one-shot Explanation,towel,context2
towel-clothes,"While I don't have a spare towel, I have a dryer in the basement, paper towels, a hair dryer and a blanket that you can use to dry your costumes.",-0.403212084503459,fullList,"paper towels, hairdryer, dryer, blanket",one-shot Explanation,towel,context2
towel-clothes,"I'm so sorry, I don't have a spare towel, but the dryer in the basement is still working and it will help dry out the costumes. Alternatively, you can use paper towels, a hair dryer, or a blanket to try and dry off your costumes.",-0.799107902781897,fullList,"paper towels, hairdryer, dryer, blanket",one-shot Explanation,towel,context2
candy-halloween,"""I'm sorry, we don't have any candy, but I can offer you some trail mix packages, a big chocolate bar, ice cream, and soda. What would you like?""",-0.47889080420475,fullList,"trailmix, chocolate, ice cream, soda",one-shot Explanation,candy,context1
candy-halloween,"I think we have something that they might like! Would they like a package of trail mix, a big chocolate bar, some ice cream, or something to drink?",-0.8503654983125,sameCategory,"trailmix, chocolate, ice cream",one-shot Explanation,candy,context1
candy-halloween,"""I'm sorry we don't have any candy, but what about the trail mix packages? Thatbytes:\xe2\x80bytes:\x99s a healthy and tasty treat!""",-1.05949363156063,competitor,trailmix,one-shot Explanation,candy,context1
candy-dessert,"Yes, we do have something sweet. Would you like some ice cream, a big chocolate bar, some trail mix or perhaps a soda?",-0.620657366996786,fullList,"trailmix, chocolate, ice cream, soda",one-shot Explanation,candy,context2
candy-dessert,"""I'm sorry, we don't have candy, but we do have some ice cream, a chocolate bar, some trail mix and soda. Would any of those be a suitable replacement?""",-0.681641910988947,fullList,"trailmix, chocolate, ice cream, soda",one-shot Explanation,candy,context2
candy-dessert,"We don't have any candy, but we have some nice treats that make a great dessert - ice cream, chocolate, trail mix snacks and soda.",-1.19470406508933,fullList,"trailmix, chocolate, ice cream, soda",one-shot Explanation,candy,context2
candy-dessert,"We don't have any candy, but we can enjoy some ice cream. That sounds delicious!",-1.00268141010842,competitor,ice cream,one-shot Explanation,candy,context2
candy-dessert,"I'm sorry, we don't have any candy, but we do have some ice cream, a big chocolate bar, little trail mix packages and soda. Would any of that be satisfactory for dessert?",-0.45003068843241906,fullList,"trailmix, chocolate, ice cream, soda",one-shot Explanation,candy,context2
bottle-plants,"No, I'm sorry, but I do have a watering can that you can use.",-0.615637331571111,competitor,watering can,one-shot Explanation,bottle,context1
bottle-plants,"""Yes, I have a container for you. You can use the watering can to water the plants.""",-0.8048306188,competitor,watering can,one-shot Explanation,bottle,context1
bottle-plants,You could try using the watering can. It should do the job just as well.,-1.03820502524176,competitor,watering can,one-shot Explanation,bottle,context1
bottle-plants,"Yes, I have a watering can that you can use for the plants.",-0.48901464023866703,competitor,watering can,one-shot Explanation,bottle,context1
bottle-plants,"Yes, we do have something that can help you water the plants. The most useful object from the list of available items is the watering can.",-0.364231564878621,competitor,watering can,one-shot Explanation,bottle,context1
bottle-water,"I'm sorry, I don't have a bottle, but I do have a to-go mug that you could use to transport water. It should get you to our destination without a problem.",-0.817617066667903,competitor,mug,one-shot Explanation,bottle,context2
bottle-water,"Yes, I have a watering can. That should provide everyone enough water for the walk.",-1.05099220565111,sameCategory,watering can,one-shot Explanation,bottle,context2
bottle-water,"No, I don't have any bottled water, but I do have a mug and a glass that you can fill up with water. There is also a watering can and a spoon in my car trunk in case you need it.",-0.664287954816327,fullList,"mug, glass, watering can, spoon",one-shot Explanation,bottle,context2
bottle-water,"Yes, I can bring my glass, it should be small and easy enough to carry.",-2.08909444805556,mostSimilar,glass,one-shot Explanation,bottle,context2
bottle-water,While I don't have a bottle I do have a to-go mug and a glass. You can fill either of those up before heading out on the walk.,-1.00983695791364,sameCategory,"mug, glass",one-shot Explanation,bottle,context2
blanket-sleepover,"No, I don't have a spare blanket, but you can borrow the sleeping bag.",-0.122735949718556,competitor,sleeping bag,one-shot QA,blanket,context1
blanket-sleepover,"No, I don't have a spare, but you can borrow the sleeping bag.",-0.788735432817882,competitor,sleeping bag,one-shot QA,blanket,context1
blanket-sleepover,"No, I don't have a spare blanket but you can borrow the sleeping bag.",-0.39071877459847104,competitor,sleeping bag,one-shot QA,blanket,context1
blanket-sleepover,"No, I don't have a blanket, but you can have the sleeping bag.",-0.133164279480235,competitor,sleeping bag,one-shot QA,blanket,context1
blanket-sleepover,"No, I don't have a spare blanket, but you can have the sleeping bag.",-0.0433753572085556,competitor,sleeping bag,one-shot QA,blanket,context1
blanket-transportation,"No, I don't have a blanket, but you can borrow the bubble wrap.",-0.300788754275882,competitor,bubble wrap,one-shot QA,blanket,context2
blanket-transportation,"No, I don't have a blanket, but you can borrow the sleeping bag.",-0.335869901940588,sameCategory,sleeping bag,one-shot QA,blanket,context2
blanket-transportation,"No, I don't have a blanket, but you can have the pillow for protection.",-0.452186390219444,sameCategory,pillow,one-shot QA,blanket,context2
blanket-transportation,"No, I don't have a spare blanket, but you can have the bubble wrap.",-0.165480881431667,competitor,bubble wrap,one-shot QA,blanket,context2
blanket-transportation,"No, I don't have an extra blanket, but you can use the carpet to cover the mirror.",-0.622945052786667,otherCategory,carpet,one-shot QA,blanket,context2
box-muffins,"No, I don't have a box, but you can take some of the goodies in the cake container.",-0.36664727244545503,competitor,cake container,one-shot QA,box,context1
box-muffins,"No, I don't have a box, but you can take the cake container.",-0.0831335709529412,competitor,cake container,one-shot QA,box,context1
box-muffins,"No, I don't have a box, but you can have the cake container.",-0.121315788658824,competitor,cake container,one-shot QA,box,context1
box-muffins,"No, I don't have a box, but you can take the tote bag.",-0.156704250367669,otherCategory,tote,one-shot QA,box,context1
box-muffins,"No, I don't have a box but you can have the cake container.",-0.311792003040625,competitor,cake container,one-shot QA,box,context1
box-bbq,"No, I don't have a box, but you can have the ziplock bag.",-0.154429556674737,competitor,ziplock,one-shot QA,box,context2
box-bbq,"No, I don't have a box, but you can take the tote bag.",-0.107730017233129,otherCategory,tote,one-shot QA,box,context2
box-bbq,"No, I don't have a box but you can have the carton.",-0.29533844704525,mostSimilar,carton,one-shot QA,box,context2
box-bbq,"No, I don't have a box, but here is the tote bag for you.",-0.679041864352438,otherCategory,tote,one-shot QA,box,context2
box-bbq,"No, I don't have a box, but you can have the tote bag.",-0.139279351705351,otherCategory,tote,one-shot QA,box,context2
sugar-coffee,"No, I don't have any sugar, but you can have one of these sweetener tablets.",-0.290967935357,competitor,sweetener,one-shot QA,sugar,context1
sugar-coffee,"No, I don't have sugar, but you can have a sweetener tablet.",-0.206768321977059,competitor,sweetener,one-shot QA,sugar,context1
sugar-coffee,"No, I don't have sugar, but you can use a sweetener tablet.",-0.346091051076471,competitor,sweetener,one-shot QA,sugar,context1
sugar-coffee,"No, I donbytes:\xe2\x80bytes:\x99t have sugar, but you can have some sweetener or honey.",-0.4924332242165,sameCategory,"sweetener, honey",one-shot QA,sugar,context1
sugar-coffee,"No, I don't have any sugar, but you can have some sweetener tablets.",-0.43230432741333297,competitor,sweetener,one-shot QA,sugar,context1
sugar-baking,"No, I donbytes:\xe2\x80bytes:\x99t have sugar, but I can give you some agave syrup.",-0.3146195148172,competitor,syrup,one-shot QA,sugar,context2
sugar-baking,"No, I don't have sugar, but you can have some honey.",-0.239074593548,sameCategory,honey,one-shot QA,sugar,context2
sugar-baking,"No, I don't have any sugar, but you can have the agave syrup.",-0.194808201047333,competitor,syrup,one-shot QA,sugar,context2
sugar-baking,"No, I don't have sugar, but you can use this agave syrup.",-0.328439437001765,competitor,syrup,one-shot QA,sugar,context2
sugar-baking,"No, I'm sorry I don't have any sugar, but you can have some agave syrup.",-0.392776819900333,competitor,syrup,one-shot QA,sugar,context2
handkerchief-injury,"No, I don't have a handkerchief, but you can use one of these wet wipes.",-0.266070326194357,sameCategory,wet wipes,one-shot QA,handkerchief,context1
handkerchief-injury,"No, I don't have a handkerchief, but I have these band-aids that you can use.",-0.562580205339192,competitor,bandaids,one-shot QA,handkerchief,context1
handkerchief-injury,"No, I don't have a handkerchief, but you can have the wet wipes.",-0.078428706120079,sameCategory,wet wipes,one-shot QA,handkerchief,context1
handkerchief-injury,"No, I don't have a handkerchief, but I can offer you a wet wipe.",-0.240469000259075,sameCategory,wet wipes,one-shot QA,handkerchief,context1
handkerchief-injury,"No, I don't have a handkerchief but you can use one of these wet wipes.",-0.44542529908307504,sameCategory,wet wipes,one-shot QA,handkerchief,context1
handkerchief-sauce,"No, I don't have a handkerchief, but I do have some wet wipes you can use.",-0.368088647984174,competitor,wet wipes,one-shot QA,handkerchief,context2
handkerchief-sauce,"No, I don't have a handkerchief, but I do have these wet wipes you might be able to use.",-0.657321432305593,competitor,wet wipes,one-shot QA,handkerchief,context2
handkerchief-sauce,"No, I don't have a handkerchief, but you can use some wet wipes to clean the mess.",-0.574411524451978,competitor,wet wipes,one-shot QA,handkerchief,context2
handkerchief-sauce,"No, I don't have a handkerchief, but I can offer you these wet wipes to help clean up the mess.",-0.38696383119175,competitor,wet wipes,one-shot QA,handkerchief,context2
handkerchief-sauce,"No, I don't have a handkerchief, but you can use one of my wet wipes.",-0.409734319946929,competitor,wet wipes,one-shot QA,handkerchief,context2
broom-renovation,"No, I don't have a broom, but you can have the hand brush.",-0.102234471802941,mostSimilar,hand brush,one-shot QA,broom,context1
broom-renovation,"No, I don't have a broom, but you can have the hand brush.",-0.217992204839474,mostSimilar,hand brush,one-shot QA,broom,context1
broom-renovation,"No, I don't have a broom, but you can have the vacuum cleaner.",-0.103548672426471,competitor,vacuum,one-shot QA,broom,context1
broom-renovation,"No, I don't have a broom, but you can borrow the vacuum cleaner.",-0.175718139855882,competitor,vacuum,one-shot QA,broom,context1
broom-renovation,"No, I don't have a broom, but you can have the vacuum cleaner.",-0.104234282914706,competitor,vacuum,one-shot QA,broom,context1
broom-snow,"No, I donbytes:\xe2\x80bytes:\x99t have a broom, but you can have the shovel.",-0.152416427959722,competitor,shovel,one-shot QA,broom,context2
broom-snow,"No, I don't have a broom, but you can have the hand brush.",-0.0846516840758824,mostSimilar,hand brush,one-shot QA,broom,context2
broom-snow,"No, I don't have a broom, but you can have the shovel.",-0.259689125274632,competitor,shovel,one-shot QA,broom,context2
broom-snow,"No, I don't have a broom, but you could use the shovel.",-0.353994181786875,competitor,shovel,one-shot QA,broom,context2
broom-snow,"No, I don't have a broom, but you can have the shovel.",-0.100925552999375,competitor,shovel,one-shot QA,broom,context2
sweatpants-sleepover,"No, I don't have sweatpants, but you can borrow a pair of leggings.",-0.193169030925,mostSimilar,leggings,one-shot QA,sweatpants,context1
sweatpants-sleepover,"No, I don't have sweatpants, but you can borrow a pair of my leggings.",-0.353316076424762,mostSimilar,leggings,one-shot QA,sweatpants,context1
sweatpants-sleepover,"No, I don't have sweatpants, but you can have the pyjamas.",-0.132492663637778,competitor,pyjamas,one-shot QA,sweatpants,context1
sweatpants-sleepover,"No, I don't have spare sweatpants, but you can have a pair of leggings.",-0.251809768922381,mostSimilar,leggings,one-shot QA,sweatpants,context1
sweatpants-spill,"No, I don't have sweatpants, but you can have the shorts.",-0.097953238301875,competitor,shorts,one-shot QA,sweatpants,context2
sweatpants-spill,"No, I don't have sweatpants, but you can get changed into some shorts.",-0.716016358497778,competitor,shorts,one-shot QA,sweatpants,context2
sweatpants-spill,"No, I don't have sweatpants, but you can have the shorts.",-0.097953238301875,competitor,shorts,one-shot QA,sweatpants,context2
sweatpants-spill,"No, I don't have sweatpants, but you can have the shorts.",-0.097953238301875,competitor,shorts,one-shot QA,sweatpants,context2
sweatpants-spill,"No, I don't have sweatpants, but you can use the shorts.",-0.260606401864375,competitor,shorts,one-shot QA,sweatpants,context2
umbrella-summer,"No, I don't have an umbrella, but have a tent you can use if you'd like.",-0.755097582918572,otherCategory,tent,one-shot QA,umbrella,context1
umbrella-summer,"No, I don't have an umbrella, but you can use the plastic bike cover.",-0.244756660565,mostSimilar,bike cover,one-shot QA,umbrella,context1
umbrella-summer,"No, I don't have an umbrella, but you can use the tent.",-0.109003796830625,otherCategory,tent,one-shot QA,umbrella,context1
umbrella-summer,"No, I donbytes:\xe2\x80bytes:\x99t have an umbrella, but you can use the tent.",-0.210807674959944,otherCategory,tent,one-shot QA,umbrella,context1
umbrella-summer,"No, I don't have an umbrella, but you can borrow the tent.",-0.234712341580625,otherCategory,tent,one-shot QA,umbrella,context1
umbrella-rain,"No, I don't have an umbrella, but you can borrow the rain jacket.",-0.0789328038058824,competitor,rain jacket,one-shot QA,umbrella,context2
umbrella-rain,"No, I don't have an umbrella, but you can have the rain jacket.",-0.0923208997235294,competitor,rain jacket,one-shot QA,umbrella,context2
umbrella-rain,"No, I don't have an umbrella, but you can borrow the tent.",-0.36445817966875,otherCategory,tent,one-shot QA,umbrella,context2
umbrella-rain,"No, I don't have an umbrella, but you can have the rain jacket.",-0.0920154745117647,competitor,rain jacket,one-shot QA,umbrella,context2
umbrella-rain,"No, I don't have an umbrella, but you can borrow the rain jacket.",-0.0789322775117647,competitor,rain jacket,one-shot QA,umbrella,context2
postit-board,"No, I don't have any post-its, but you can use the sticky bookmarks.",-0.1502420069955,sameCategory,bookmarks,one-shot QA,postit,context1
postit-board,"No, I don't have post-its, but you can have the notebook.",-0.235729710314706,mostSimilar,notebook,one-shot QA,postit,context1
postit-board,"No, I don't have post-its, but you can have the sticky bookmarks.",-0.0768922553815789,sameCategory,bookmarks,one-shot QA,postit,context1
postit-board,"No, I don't have post-its, but you can have the sticky bookmarks.",-0.0768922553815789,sameCategory,bookmarks,one-shot QA,postit,context1
postit-board,"No, I don't have any post-its, but you can use the sticky bookmarks.",-0.1502420069955,sameCategory,bookmarks,one-shot QA,postit,context1
postit-reading,"No, I don't have post-its, but I have some sticky bookmarks you can use.",-0.307819557047143,competitor,bookmarks,one-shot QA,postit,context2
postit-reading,"No, I don't have post-its, but you can have the notebook.",-0.138272098065882,mostSimilar,notebook,one-shot QA,postit,context2
postit-reading,"No, I don't have post-its, but you can use the notebook.",-0.182695551437647,mostSimilar,notebook,one-shot QA,postit,context2
postit-reading,"No, I don't have post-its, but you can have the notebook.",-0.137066086750588,mostSimilar,notebook,one-shot QA,postit,context2
postit-reading,"No, I don't have post-its, but you can have the notebook.",-0.138199066755882,mostSimilar,notebook,one-shot QA,postit,context2
pot-garden,"No, I don't have a pot, but you can have one of these cans.",-0.296732648643889,competitor,cans,one-shot QA,pot,context1
pot-garden,"No, I don't have a pot, but you can have the cans.",-0.454814775124118,competitor,cans,one-shot QA,pot,context1
pot-garden,"No, I don't have a pot, but you can have a can.",-0.18178977360375,competitor,cans,one-shot QA,pot,context1
pot-garden,"No, I don't have a pot, but you can have one of my pans.",-0.346032087770556,sameCategory,pans,one-shot QA,pot,context1
pot-garden,"No, I don't have a pot, but you can use the cans.",-0.4641942576925,competitor,cans,one-shot QA,pot,context1
pot-jam,"No, I don't have a pot, but you can use the camping cookware.",-0.136414179118333,mostSimilar,camping cookware,one-shot QA,pot,context2
pot-jam,"No, I don't have a pot, but you can have the camping cookware.",-0.154635819001667,mostSimilar,camping cookware,one-shot QA,pot,context2
pot-jam,"No, I don't have a pot, but you can use the camping cookware.",-0.136414179118333,mostSimilar,camping cookware,one-shot QA,pot,context2
pot-jam,"No, I don't have a pot, but you can use one of the pans.",-0.15281934251,competitor,pans,one-shot QA,pot,context2
pot-jam,"No, I don't have a pot, but you can use the pans.",-0.213761091114375,competitor,pans,one-shot QA,pot,context2
towel-hair,"No, I don't have a spare towel, but you can use the hair dryer.",-0.105544952164421,competitor,hairdryer,one-shot QA,towel,context1
towel-hair,"No, I don't have a towel, but you can use the paper towels.",-0.135412739485882,mostSimilar,paper towels,one-shot QA,towel,context1
towel-hair,"No, I don't have a spare towel, but you can have the paper towels.",-0.224349978558889,mostSimilar,paper towels,one-shot QA,towel,context1
towel-hair,"No, I don't have a towel, but you can use the hair dryer.",-0.0878273512575555,competitor,hairdryer,one-shot QA,towel,context1
towel-hair,"No, I don't have a towel, but you can use the dryer in the basement.",-0.155089081155,sameCategory,dryer,one-shot QA,towel,context1
towel-clothes,"No, I don't have a spare towel, but I can offer you the paper towels.",-0.393350538730526,mostSimilar,paper towels,one-shot QA,towel,context2
towel-clothes,"No, I don't have a towel, but you can use the dryer in the basement to dry your costumes.",-0.182734909681417,competitor,dryer,one-shot QA,towel,context2
towel-clothes,"No, I don't have a towel, but you can use the hair dryer and paper towels.",-0.270903440886476,sameCategory,"hairdryer, paper towels",one-shot QA,towel,context2
towel-clothes,"No, I don't have a spare towel. But you can use the hair dryer and the blanket.",-0.519248576919546,other,"hairdryer, blanket",one-shot QA,towel,context2
towel-clothes,"No, I don't have a towel, but you can use the paper towels to dry off a bit.",-0.541636473736364,mostSimilar,paper towels,one-shot QA,towel,context2
candy-halloween,"No, we donbytes:\xe2\x80bytes:\x99t have any candy, but herebytes:\xe2\x80bytes:\x99s some trail mix!",-0.3235061726745,competitor,trailmix,one-shot QA,candy,context1
candy-halloween,"No, we don't have any candy, but we have some ice cream bars.",-0.561216076944706,sameCategory,ice cream,one-shot QA,candy,context1
candy-halloween,"No, we donbytes:\xe2\x80bytes:\x99t have any candy, but I can give them some trail mix!",-0.4115278224489,competitor,trailmix,one-shot QA,candy,context1
candy-halloween,"No, we don't have any candy, but here, have some ice cream!",-0.517441947607647,sameCategory,ice cream,one-shot QA,candy,context1
candy-dessert,"No, we don't have any candy, but you can have some ice cream.",-0.156650389083529,competitor,ice cream,one-shot QA,candy,context2
candy-dessert,"No, we don't have candy, but I can offer you some ice cream.",-0.320185569424118,competitor,ice cream,one-shot QA,candy,context2
candy-dessert,"No, we don't have any candy, but we do have some ice cream.",-0.179248083812941,competitor,ice cream,one-shot QA,candy,context2
candy-dessert,"No, we don't have any candy, but you can have some trail mix.",-0.42494013322294094,sameCategory,trailmix,one-shot QA,candy,context2
bottle-plants,"No, I don't have a bottle, but you can have the glass.",-0.209225206800625,mostSimilar,glass,one-shot QA,bottle,context1
bottle-plants,"No, I don't have any bottles, but you can use the watering can.",-0.259258662121765,competitor,watering can,one-shot QA,bottle,context1
bottle-plants,"No, I don't have a bottle, but you can use the watering can.",-0.0272263611491765,competitor,watering can,one-shot QA,bottle,context1
bottle-plants,"No, I don't have a bottle, but you can use the watering can.",-0.0272263611491765,competitor,watering can,one-shot QA,bottle,context1
bottle-plants,"No, I don't have a bottle, but you can have the watering can.",-0.178947403405882,competitor,watering can,one-shot QA,bottle,context1
bottle-water,"No, I don't have a bottle, but you can have the to-go mug.",-0.116498955038684,competitor,mug,one-shot QA,bottle,context2
bottle-water,"No, I don't have a bottle, but you can use the watering can.",-0.356837080717059,competitor,mug,one-shot QA,bottle,context2
bottle-water,"No, I don't have a bottle, but you can borrow the to-go mug.",-0.300798664690158,competitor,mug,one-shot QA,bottle,context2
blanket-sleepover,"No, I'm sorry I don't have a blanket. But I can lend you a sleeping bag, a pillow, some bubble wrap, and a carpet. Will those be helpful?",-0.457009101918462,fullList,"sleeping bag, pillow, bubble wrap, carpet",zero-shot,blanket,context1
blanket-sleepover,"No, I'm sorry I don't have a blanket, but I can lend you a sleeping bag and a pillow to help keep everyone warm. That should be a bit more comfortable than just bubble wrap. I can also lend you a carpet to use as a makeshift bed.",-0.78735295831431,fullList,"sleeping bag, pillow, bubble wrap, carpet",zero-shot,blanket,context1
blanket-sleepover,"No, I don't have a blanket, but I can lend you my sleeping bag and pillow if you need them!",-0.346780221069667,sameCategory,"sleeping bag, pillow",zero-shot,blanket,context1
blanket-sleepover,"No, I don't have a blanket, but I can lend you some of these other items that I have at home. I have a sleeping bag, a pillow, some bubble wrap, and a carpet. Those should help make the sleepover more comfortable!",-0.513648272432222,fullList,"sleeping bag, pillow, bubble wrap, carpet",zero-shot,blanket,context1
