itemName,settingName,vignette,taciturn,competitor,sameCategory,otherCategory,fullList,itemQuestion,itemCompetitor,itemSameCat1,itemSameCat2,itemOtherCat1,itemOtherCat2,weakItem?
friendsActivities-boardGames,friendsActivities,"You are hosting a casual Saturday night get together with your friends at your house. For activities, you prepared Monopoly, Twister, a poker set, some movies and PlayStation games.\n\nYour friends arrived to your house and ask you: “Do you have Clue?”\n\nYou reply:","“I'm sorry, I don't have Clue.”","“I'm sorry, I don't have Clue. I have Monopoly.”","“I'm sorry, I don't have Clue. I have Twister, Monopoly and a poker set.”","“I'm sorry, I don't have Clue. I have some movies and PlayStation games.”","“I'm sorry, I don't have Clue. I have Twister, a poker set, some movies, Monopoly, and PlayStation games.”",clue,monopoly,twister,poker,playstation,movies,0
friendsActivities-videoEntertainment,friendsActivities,"You are hosting a casual Saturday night get together with your friends at your house. For activities, you prepared Monopoly, a poker set, some movies, some Wii games, and PlayStation games.\n\nYour friends arrived to your house and ask you: “Do you have Xbox games?”\n\nYou reply:","“I'm sorry, I don't have Xbox games.”","“I'm sorry, I don't have Xbox games. I have PlayStation games.”","“I’m sorry, I don't have Xbox games. I have Wii games, some movies, and PlayStation games.”","“I'm sorry, I don't have Xbox games. I have Monopoly and a poker set.”","“I'm sorry, I don't have Xbox games. I have Wii games, some movies, Monopoly, PlayStation games and a poker set.”",xbox,playstation,wii,movies,wii,monopoly,0
disney-action,disney,"You work at the entrance counter at Disney World. Today visitors can see Elsa, Spiderman, Batman, Ariel and Hulk.\n\nA group of kids walks in and asks: “Can we see Superman”?\n\nYou reply:","“I’m sorry, Superman is not here today.” ","“I’m sorry, Superman is not here today. Spiderman is here today.” ","“I’m sorry, Superman is not here today. Hulk, Spiderman, and Batman are here today.” ","“I’m sorry, Superman is not here today. Ariel and Elsa are here today.” ","“I’m sorry, Superman is not here today. Elsa, Hulk, Ariel, Spiderman, and Batman are here today.” ",superman,spiderman,hulk,batman,ariel,elsa,0
disney-princess,disney,"You work at the entrance counter at Disney World. Today visitors can see Ariel, Elsa, Cinderella, and Spiderman and Batman.\n\nA group of kids walks in and asks: “Can we see Moana”?\n\nYou reply:","“I’m sorry, Moana is not here today.” ","“I’m sorry, Moana is not here today. Elsa is here today.” ","“I’m sorry, Moana is not here today. Cinderella, Elsa and Ariel are here today.” ","“I’m sorry, Moana is not here today. Batman and Spiderman are here today.” ","“I’m sorry, Moana is not here today. Elsa, Batman, Cinderella, Spiderman and Ariel are here today.” ",moana,elsa,ariel,cinderella,spiderman,batman,0
plants-green,plants,"You are a hobby florist and grow beautiful plants and flowers in your house and your garden. You often give away plants and bouquets to friends and family. You currently have an agave, an ivy, a rose bush, bamboo, and an orchid. \n\nA friend who just moved wants to get something to decorate her new apartment visits you and asks: “Do you have an aloe vera?”\n\nYou reply:","“I'm sorry, I don’t have an aloe vera.”","“I'm sorry, I don’t have an aloe vera. I have an agave.”","“I'm sorry, I don’t have an aloe vera. I have an ivy, an agave, and bamboo.”","“I'm sorry, I don’t have an aloe vera. I have a rose bush and an orchid.”","“I'm sorry, I don’t have an aloe vera. I have an agave, a rose bush, an ivy, an orchid, and bamboo.”",aloe vera,agave,ivy,bamboo,rose,orchid,0
plants-flowers,plants,"You are a hobby florist and grow beautiful plants and flowers in your house and your garden. You often give away plants and bouquets to friends and family. You currently have an agave, an ivy, a rose bush, tulips, and sunflowers. \n\nA friend who just moved wants to get something to decorate her new apartment visits you and asks: “Do you have peonies?”\n\nYou reply:","“I'm sorry, I don’t have peonies.”","“I'm sorry, I don’t have peonies. I have roses.”","“I'm sorry, I don’t have peonies. I have roses, tulips, and sunflowers.”","“I'm sorry, I don’t have peonies. I have an ivy and an agave.”","“I'm sorry, I don’t have peonies. I have an agave, a rose bush, an ivy, tulips, and sunflowers.”",peonies,rose,sunflower,tulip,ivy,agave,0
jobCenter-office,jobCenter,"You are working at the job center consultation desk in a mid sized town and help people find open vacancies. Currently the following positions are available at local businesses: carpenter, front desk secretary, bookkeeper, manager assistant, and car mechanic.\n\nA man walks in and asks: “Is there an open accountant job?”\n\nYou reply:","“I'm sorry, there is no accountant job open.”","“I'm sorry, there is no accountant job open. There is a bookkeeper position open.”","“I'm sorry, there is no accountant job open. There is a front desk secretary position, a bookkeeper position, and a manager assistant position.”","“I'm sorry, there is no accountant job open. There is a carpenter job and a car mechanic job.”","“I'm sorry, there is no accountant job open. There is a carpenter job, a front desk secretary position, a bookkeeper job, manager assistant job, and a car mechanic job.”",accountant,bookkeeper,front desk secretary,manager assistant,car mechanic,carpenter,1
jobCenter-engineer,jobCenter,"You are working at the job center consultation desk in a mid sized town and help people find open vacancies. Currently the following positions are available at local businesses: electrician, secretary, bookkeeper, car mechanic, and electrical engineer job.\n\nA man walks in and asks: “Is there an electrical mechanic job open?”\n\nYou reply:","“I'm sorry, there is no electrical mechanic job open.”","“I'm sorry, there is no electrical mechanic job open. There is a car mechanic job.”","“I'm sorry, there is no electrical mechanic job open. There is an electrician job, a car mechanic job, and and electrical engineer position open.”","“I'm sorry, there is no electrical mechanic job open. There is a secretary job and a bookkeeper job.”","“I'm sorry, there is no electrical mechanic job open. There is a bookkeeper job, electrician job, electrical engineering job, secretary job, car mechanic job, and a bookkeeper job.”",electrical mechanic,car mechanic,electrician,electrical engineer,bookkeeper,secretary,1
zoo-xl,zoo,"You live in a middle sized town and took your kids to the zoo today. You just carefully studied the map of the zoo and saw that there is a lion, a giraffe, gorillas, snakes and turtles.\n\nYour eight-year-old is impatient and asks: ”Can we see the tiger?”\n\nYou reply: ","“I’m sorry, they don’t have a tiger here.”","“I’m sorry, they don’t have a tiger here. They have a lion.”","“I’m sorry, they don’t have a tiger here. They have gorillas, a lion, and a giraffe.”","“I’m sorry, they don’t have a tiger here. They have turtles and snakes.”","“I’m sorry, they don’t have a tiger here. They have turtles, a lion, gorillas, snakes and a giraffe.”",tiger,lion,gorilla,giraffe,snake,turtle,0
zoo-s,zoo,You live in a middle sized town and took your kids to the zoo today.,,,,,,,,,,,,0
